Code,English,Santali Ol Chiki
1,world,ᱡᱮᱜᱮᱛ
19,Americas,ᱟᱢᱮᱨᱤᱠᱟᱱᱥ
2,Africa,ᱟᱯᱷᱨᱤᱠᱟ
150,Europe,ᱭᱩᱨᱚᱯ
142,Asia,ᱟᱥᱤᱭᱟ
9,Oceania,ᱳᱥᱮᱱᱤᱟ
EU,European Union,ᱭᱩᱨᱚᱯᱤᱭᱟᱹᱱ ᱡᱩᱢᱤᱫ
EZ,Eurozone,ᱭᱩᱨᱚᱡᱚᱱ
UN,United Nations,ᱡᱩᱢᱤᱫ ᱫᱤᱥᱚᱢ
UN-short,UN,ᱭᱩ ᱚᱱ
3,North America,ᱮᱛᱚᱢ ᱟᱢᱮᱨᱤᱠᱟ
21,Northern America,ᱮᱛᱚᱢᱤᱭᱟᱹ ᱟᱢᱮᱨᱤᱠᱟ
13,Central America,ᱛᱟᱞᱟ ᱟᱢᱮᱨᱤᱠᱟ
29,Caribbean,ᱠᱟᱹᱨᱮᱵᱤᱭᱟᱹᱱ
5,South America,ᱠᱚᱸᱭᱮ ᱟᱢᱮᱨᱤᱠᱟ
419,Latin America,ᱞᱟᱴᱤᱱ ᱟᱢᱮᱨᱤᱠᱟ
15,Northern Africa,ᱮᱛᱚᱢᱤᱭᱟᱹ ᱟᱯᱷᱨᱤᱠᱟ
11,Western Africa,ᱯᱟᱪᱮ ᱟᱯᱷᱨᱤᱠᱟ
17,Middle Africa,ᱛᱟᱞᱟ ᱟᱯᱷᱨᱤᱠᱟ
14,Eastern Africa,ᱥᱟᱢᱟᱝ ᱟᱯᱷᱨᱤᱠᱟ
18,Southern Africa,ᱠᱚᱸᱭᱮᱤᱭᱟᱹ ᱟᱯᱷᱨᱤᱠᱟ
202,Sub-Saharan Africa,ᱥᱩᱵᱼᱥᱟᱦᱟᱨᱟᱱ ᱟᱯᱷᱨᱤᱠᱟ
154,Northern Europe,ᱮᱛᱚᱢᱤᱭᱟᱹ ᱭᱩᱨᱚᱯ
155,Western Europe,ᱯᱟᱪᱮᱤᱭᱟ. ᱭᱩᱨᱚᱯ
151,Eastern Europe,ᱥᱟᱢᱟᱝᱤᱭᱟ. ᱭᱩᱨᱚᱯ
39,Southern Europe,ᱠᱚᱸᱭᱮᱤᱭᱟᱹ ᱭᱩᱨᱚᱯ
145,Western Asia,ᱯᱟᱪᱮᱤᱭᱟᱹ ᱮᱥᱤᱭᱟ
143,Central Asia,ᱛᱟᱞᱟ ᱮᱥᱤᱭᱟ
30,Eastern Asia,ᱥᱟᱢᱟᱝ ᱮᱥᱤᱭᱟ
34,Southern Asia,ᱠᱚᱸᱭᱮᱤᱭᱟᱹ ᱮᱥᱤᱭᱟ
35,Southeast Asia,ᱠᱚᱸᱭᱮᱥᱟᱢᱟᱝ ᱮᱥᱤᱭᱟ
53,Australasia,ᱚᱣᱥᱴᱨᱟᱞᱮᱥᱤᱭᱟ
54,Melanesia,ᱢᱮᱞᱟᱱᱮᱥᱤᱟ
57,Micronesian Region,ᱢᱟᱭᱠᱨᱚᱱᱮᱥᱤᱭᱟᱱ ᱡᱟᱭᱜᱟ
61,Polynesia,ᱯᱚᱞᱭᱱᱮᱥᱤᱟ
QO,Outlying Oceania,ᱟᱩᱴᱞᱟᱭᱤᱱᱤᱜ ᱚᱥᱮᱱᱤᱟ
XA,Pseudo-Accents,ᱥᱤᱰᱚᱼᱟᱥᱮᱱᱴᱥ
XB,Pseudo-Bidi,ᱥᱤᱰᱚᱼᱵᱤᱰᱤ
ZZ,Unknown Region,ᱵᱟᱝ ᱵᱟᱲᱟᱭ ᱡᱟᱭᱜᱟ
