Code,English,Santali (Ol Chiki)
A,,
,,
Abkhazian ► ab,Abkhazian,ᱟᱹᱵᱠᱷᱟᱡᱤᱭᱟᱹᱱ
Achinese ► ace,Achinese,ᱟᱠᱷᱤᱱᱤᱡᱽ
Acoli ► ach,Acoli,ᱟᱹᱠᱚᱞᱤ
Adangme ► ada,Adangme,ᱟᱹᱰᱟᱱᱜᱢᱮ
Adyghe ► ady,Adyghe,ᱟᱹᱰᱤᱜᱷᱮ
Afar ► aa,Afar,ᱟᱹᱯᱷᱟᱹᱨ
Afrihili ► afh,Afrihili,ᱟᱹᱯᱷᱨᱤᱦᱤᱞᱤ
Afrikaans ► af,Afrikaans,ᱟᱯᱷᱨᱤᱠᱟᱱᱥ
Aghem ► agq,Aghem,ᱟᱜᱷᱮᱢ
Ainu ► ain,Ainu,ᱟᱭᱱᱩ
Akan ► ak,Akan,ᱟᱠᱮᱱ
Akkadian ► akk,Akkadian,ᱟᱠᱟᱰᱤᱭᱟᱹᱱ
Akoose ► bss,Akoose,ᱟᱠᱩᱡᱽ
Alabama ► akz,Alabama,ᱟᱞᱟᱵᱟᱢᱟ
Albanian ► sq,Albanian,ᱟᱞᱵᱟᱱᱤᱭᱟᱹᱱ
Aleut ► ale,Aleut,ᱟᱞᱮᱩᱴ
Algerian Arabic ► arq,Algerian Arabic,ᱟᱞᱡᱮᱨᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ
American Sign Language ► ase,American Sign Language,ᱟᱹᱢᱮᱨᱤᱠᱟᱹᱱ ᱪᱤᱱᱦᱟᱹ ᱯᱟᱹᱨᱥᱤ
Amharic ► am,Amharic,ᱟᱹᱢᱦᱟᱹᱨᱤᱠ
Ancient Egyptian ► egy,Ancient Egyptian,ᱥᱮᱫᱟᱭ ᱤᱡᱤᱯᱴᱤᱭᱟᱹᱱ
Ancient Greek ► grc,Ancient Greek,ᱥᱮᱫᱟᱭ ᱜᱽᱨᱤᱠ
Angika ► anp,Angika,ᱟᱹᱝᱜᱤᱠᱟ
Ao Naga ► njo,Ao Naga,ᱳ ᱱᱟᱜᱟ
Arabic ► ar,Arabic,ᱟᱹᱨᱵᱤ
Arabic ► ar_001,Modern Standard Arabic,ᱢᱚᱰᱮᱱ ᱥᱴᱟᱱᱰᱟᱨᱰ ᱟᱹᱨᱵᱤ
Aragonese ► an,Aragonese,ᱟᱨᱜᱚᱱᱤᱡᱽ
Aramaic ► arc,Aramaic,ᱟᱨᱟᱢᱟᱭᱤᱠ
Araona ► aro,Araona,ᱟᱨᱟᱚᱱᱟ
Arapaho ► arp,Arapaho,ᱟᱨᱟᱯᱟᱦᱚ
Arawak ► arw,Arawak,ᱟᱨᱟᱣᱟᱠ
Armenian ► hy,Armenian,ᱟᱨᱢᱮᱱᱤᱭᱟᱹᱱ
