Code,English,Santali (Ol Chiki)
E,,
,,
Eastern Frisian ► frs,Eastern Frisian,ᱥᱟᱢᱟᱝ ᱯᱷᱨᱤᱥᱤᱭᱟᱱ
Efik ► efi,Efik,ᱤᱯᱷᱤᱠ
Egyptian Arabic ► arz,Egyptian Arabic,ᱤᱡᱤᱯᱴᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ
Ekajuk ► eka,Ekajuk,ᱤᱠᱟᱡᱤᱠ
Elamite ► elx,Elamite,ᱮᱞᱟᱢᱤᱴ
Embu ► ebu,Embu,ᱮᱢᱵᱩ
Emilian ► egl,Emilian,ᱮᱢᱤᱞᱤᱭᱟᱹᱱ
English ► en,English,ᱟᱝᱜᱽᱨᱮᱡᱤ
English ► en_AU,Australian English,ᱚᱥᱴᱨᱮᱞᱤᱭᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ
English ► en_CA,Canadian English,ᱠᱟᱱᱟᱰᱤᱭᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ
English ► en_GB,British English,ᱵᱨᱤᱴᱤᱥ ᱟᱝᱜᱽᱨᱮᱡᱤ
English ► en_GB-short,UK English,ᱭᱩᱠᱮ ᱟᱝᱜᱽᱨᱮᱡᱤ
English ► en_US,American English,ᱟᱢᱮᱨᱤᱠᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ
English ► en_US-short,US English,ᱭᱩ ᱮᱥ ᱟᱝᱜᱽᱨᱮᱡᱤ
Erzya ► myv,Erzya,ᱮᱨᱡᱭᱟ
Esperanto ► eo,Esperanto,ᱮᱥᱯᱟᱨᱮᱱᱛᱚ
Estonian ► et,Estonian,ᱮᱥᱴᱚᱱᱤᱭᱟᱹᱱ
Ewe ► ee,Ewe,ᱤᱣᱤ
Ewondo ► ewo,Ewondo,ᱤᱣᱚᱱᱰᱚ
Extremaduran ► ext,Extremaduran,ᱮᱠᱥᱴᱨᱤᱢᱟᱰᱩᱨᱟᱱ
,,
,,
F,,
,,
Fang ► fan,Fang,ᱯᱷᱟᱝ
Fanti ► fat,Fanti,ᱯᱷᱟᱱᱴᱤ
Faroese ► fo,Faroese,ᱯᱷᱟᱨᱚᱤᱥ
Fiji Hindi ► hif,Fiji Hindi,ᱯᱷᱤᱡᱤ ᱦᱤᱱᱫᱤ
Fijian ► fj,Fijian,ᱯᱷᱤᱡᱤᱭᱟᱹᱱ
Filipino ► fil,Filipino,ᱯᱤᱞᱤᱯᱤᱱᱚ
Finnish ► fi,Finnish,ᱯᱷᱤᱱᱤᱥ
