Code,English,Santali (Ol Chiki)
K,,
,,
Kabardian ► kbd,Kabardian,ᱠᱟᱵᱟᱨᱰᱤᱭᱟᱹᱱ
Kabuverdianu ► kea,Kabuverdianu,ᱠᱟᱵᱩᱣᱟᱹᱨᱰᱤᱭᱟᱹᱱᱩ
Kabyle ► kab,Kabyle,ᱠᱟᱵᱮᱞ
Kachin ► kac,Kachin,ᱠᱟᱪᱤᱱ
Kaingang ► kgp,Kaingang,ᱠᱟᱭᱮᱱᱜᱮᱝ
Kako ► kkj,Kako,ᱠᱟᱠᱚ
Kalaallisut ► kl,Kalaallisut,ᱠᱟᱞᱟᱞᱤᱥᱩᱴ
Kalenjin ► kln,Kalenjin,ᱠᱟᱞᱮᱱᱡᱤᱱ
Kalmyk ► xal,Kalmyk,ᱠᱟᱞᱢᱤᱠ
Kamba ► kam,Kamba,ᱠᱟᱢᱵᱟ
Kanembu ► kbl,Kanembu,ᱠᱟᱱᱮᱢᱵᱩ
Kannada ► kn,Kannada,ᱠᱟᱱᱟᱰᱟ
Kanuri ► kr,Kanuri,ᱠᱟᱱᱩᱨᱤ
Kara-Kalpak ► kaa,Kara-Kalpak,ᱠᱟᱨᱟᱼᱠᱟᱞᱯᱟᱠ
Karachay-Balkar ► krc,Karachay-Balkar,ᱠᱟᱨᱟᱪᱷᱮᱼᱵᱟᱞᱠᱟᱨ
Karelian ► krl,Karelian,ᱠᱟᱨᱮᱞᱤᱭᱟᱹᱱ
Kashmiri ► ks,Kashmiri,ᱠᱟᱹᱥᱢᱤᱨᱤ
Kashubian ► csb,Kashubian,ᱠᱩᱥᱩᱵᱤᱭᱟᱹᱱ
Kawi ► kaw,Kawi,ᱠᱟᱣᱤ
Kazakh ► kk,Kazakh,ᱠᱟᱡᱟᱠᱷ
Kenyang ► ken,Kenyang,ᱠᱮᱱᱭᱟᱱ
Khasi ► kha,Khasi,ᱠᱷᱟᱥᱤ
Khmer ► km,Khmer,ᱠᱷᱢᱮᱨ
Khotanese ► kho,Khotanese,ᱠᱷᱚᱴᱟᱱᱤᱡᱽ
Khowar ► khw,Khowar,ᱠᱷᱚᱣᱟᱨ
Kikuyu ► ki,Kikuyu,ᱠᱤᱠᱩᱭᱩ
Kimbundu ► kmb,Kimbundu,ᱠᱤᱢᱵᱩᱱᱰᱩ
Kinaray-a ► krj,Kinaray-a,ᱠᱤᱱᱟᱨᱮᱼᱭᱟ
Kinyarwanda ► rw,Kinyarwanda,ᱠᱤᱱᱭᱟᱨᱣᱟᱱᱰᱟ
Kirmanjki ► kiu,Kirmanjki,ᱠᱤᱨᱢᱟᱱᱡᱽᱠᱤ
Klingon ► tlh,Klingon,ᱠᱞᱤᱝᱜᱚᱱ
Kom ► bkm,Kom,ᱠᱚᱢ
Komi ► kv,Komi,ᱠᱚᱢᱤ
Komi-Permyak ► koi,Komi-Permyak,ᱠᱚᱢᱤᱼᱡᱟᱹᱨᱢᱤᱭᱟᱠ
Kongo ► kg,Kongo,ᱠᱚᱝᱜᱚ
Konkani ► kok,Konkani,ᱠᱚᱱᱠᱟᱱᱤ
Korean ► ko,Korean,ᱠᱚᱨᱤᱭᱟᱹᱱ
Koro ► kfo,Koro,ᱠᱚᱨᱚ
Kosraean ► kos,Kosraean,ᱠᱚᱥᱨᱟᱤᱭᱟᱹᱱ
Kotava ► avk,Kotava,ᱠᱚᱴᱟᱣᱟ
Koyra Chiini ► khq,Koyra Chiini,ᱠᱚᱭᱨᱟ ᱪᱷᱤᱱᱤ
Koyraboro Senni ► ses,Koyraboro Senni,ᱠᱚᱭᱨᱟᱵᱚᱨᱚ ᱥᱮᱱᱤ
Kpelle ► kpe,Kpelle,ᱯᱮᱞᱮ
Krio ► kri,Krio,ᱠᱨᱤᱭᱚ
Kuanyama ► kj,Kuanyama,ᱠᱩᱣᱟᱱᱭᱟᱢᱟ
Kumyk ► kum,Kumyk,ᱠᱩᱢᱤᱠ
Kurdish ► ku,Kurdish,ᱠᱩᱨᱫᱤᱥ
Kurukh ► kru,Kurukh,ᱠᱩᱨᱩᱠᱷ
Kutenai ► kut,Kutenai,ᱠᱩᱴᱮᱱᱟᱭ
Kwasio ► nmg,Kwasio,ᱠᱣᱟᱥᱤᱭᱚ
Kyrgyz ► ky,Kyrgyz,ᱠᱤᱨᱜᱤᱡᱽ
Kyrgyz ► ky-variant,Kirghiz,ᱠᱤᱨᱜᱷᱤᱡᱽ
Kʼicheʼ ► quc,Kʼicheʼ,ᱠᱤᱪᱮ
,,
,,
L,,
,,
Ladino ► lad,Ladino,ᱞᱟᱰᱤᱱᱚ
Lahnda ► lah,Lahnda,ᱞᱟᱦᱟᱱᱰᱟ
Lakota ► lkt,Lakota,ᱞᱟᱠᱚᱴᱟ
Lamba ► lam,Lamba,ᱞᱟᱢᱵᱟ
Langi ► lag,Langi,ᱞᱟᱝᱜᱤ
Lao ► lo,Lao,ᱞᱟᱣ
Latgalian ► ltg,Latgalian,ᱞᱟᱴᱜᱟᱞᱤᱞᱟᱹᱱ
Latin ► la,Latin,ᱞᱟᱤᱱ
Latvian ► lv,Latvian,ᱞᱟᱴᱤᱣᱟᱱ
Laz ► lzz,Laz,ᱞᱟᱡᱽ
Lezghian ► lez,Lezghian,ᱞᱮᱡᱽᱜᱷᱤᱭᱟᱱ
Ligurian ► lij,Ligurian,ᱞᱤᱜᱩᱨᱤᱭᱟᱱ
Limburgish ► li,Limburgish,ᱞᱤᱢᱵᱩᱨᱜᱤᱥ
Lingala ► ln,Lingala,ᱞᱤᱱᱜᱟᱞᱟ
Lingua Franca Nova ► lfn,Lingua Franca Nova,ᱞᱤᱱᱜᱩᱣᱟ ᱯᱷᱨᱟᱱᱠᱟ ᱱᱚᱣᱟ
Literary Chinese ► lzh,Literary Chinese,ᱞᱤᱴᱟᱹᱨᱟᱨᱤ ᱪᱟᱭᱱᱤᱡᱽ
Lithuanian ► lt,Lithuanian,ᱞᱤᱛᱷᱩᱱᱤᱭᱟᱹᱱ
Livonian ► liv,Livonian,ᱞᱤᱣᱚᱱᱤᱭᱟᱹᱱ
Lojban ► jbo,Lojban,ᱞᱚᱡᱽᱵᱟᱱ
Lombard ► lmo,Lombard,ᱞᱚᱢᱵᱟᱨᱰ
Louisiana Creole ► lou,Louisiana Creole,ᱞᱩᱭᱥᱤᱭᱟᱱᱟ ᱠᱨᱮᱚᱞᱮ
Low German ► nds,Low German,ᱞᱚ ᱡᱟᱹᱨᱢᱟᱹᱱ
Low German ► nds_NL,Low Saxon,ᱞᱚ ᱥᱟᱠᱥᱚᱱ
Lower Silesian ► sli,Lower Silesian,ᱞᱚᱣᱟᱹᱨ ᱥᱤᱞᱮᱥᱤᱭᱟᱹᱱ
Lower Sorbian ► dsb,Lower Sorbian,ᱞᱚᱣᱟᱹᱨ ᱥᱚᱨᱵᱤᱭᱟᱹᱱ 
Lozi ► loz,Lozi,ᱞᱚᱡᱤ
Luba-Katanga ► lu,Luba-Katanga,ᱞᱩᱵᱟᱼᱠᱟᱹᱡᱟᱹᱝᱜᱟ
Luba-Lulua ► lua,Luba-Lulua,ᱞᱩᱵᱟᱼᱞᱩᱞᱩᱣᱟ
