Code,English,Santali (Ol Chiki)
O,,
,,
Occitan ► oc,Occitan,ᱳᱥᱤᱴᱟᱱ
Odia ► or,Odia,ᱳᱰᱤᱭᱟ
Ojibwa ► oj,Ojibwa,ᱳᱡᱤᱵᱽᱣᱟ
Old English ► ang,Old English,ᱢᱟᱨᱮ ᱤᱝᱞᱤᱥ
Old French ► fro,Old French,ᱢᱟᱨᱮ ᱯᱷᱨᱮᱧᱪ
Old High German ► goh,Old High German,ᱢᱟᱨᱮ ᱩᱥᱩᱞ ᱡᱟᱹᱨᱢᱟᱹᱱ
Old Irish ► sga,Old Irish,ᱢᱟᱨᱮ ᱤᱨᱤᱥ
Old Norse ► non,Old Norse,ᱢᱟᱨᱮ ᱱᱚᱨᱥ
Old Persian ► peo,Old Persian,ᱢᱟᱨᱮ ᱯᱟᱹᱨᱥᱤᱭᱟᱹᱱ
Old Provençal ► pro,Old Provençal,ᱢᱟᱨᱮ ᱯᱨᱚᱵᱷᱮᱱᱠᱟᱞ
Oromo ► om,Oromo,ᱳᱨᱚᱢᱚ
Osage ► osa,Osage,ᱳᱥᱮᱜᱽ
Ossetic ► os,Ossetic,ᱳᱥᱮᱴᱤᱠ
Ottoman Turkish ► ota,Ottoman Turkish,ᱳᱴᱚᱢᱟᱱ ᱴᱟᱹᱨᱠᱤᱥ
,,
,,
P,,
,,
Pahlavi ► pal,Pahlavi,ᱯᱟᱦᱞᱟᱹᱣᱤ
Palatine German ► pfl,Palatine German,ᱯᱟᱞᱟᱴᱤᱱ ᱡᱟᱹᱨᱢᱟᱹᱱ
Palauan ► pau,Palauan,ᱯᱟᱞᱟᱩᱣᱟᱱ
Pali ► pi,Pali,ᱯᱟᱞᱤ
Pampanga ► pam,Pampanga,ᱯᱟᱢᱯᱟᱱᱜᱟ
Pangasinan ► pag,Pangasinan,ᱯᱟᱱᱜᱟᱥᱤᱱᱟᱱ
Papiamento ► pap,Papiamento,ᱯᱟᱯᱤᱭᱟᱢᱮᱱᱴᱚ
Pashto ► ps,Pashto,ᱯᱟᱥᱛᱚ
Pashto ► ps-variant,Pushto,ᱯᱩᱥᱛᱚ
Pennsylvania German ► pdc,Pennsylvania German,ᱯᱮᱱᱭᱥᱮᱞᱵᱷᱤᱭᱟ ᱡᱟᱹᱨᱢᱟᱹᱱ
Persian ► fa,Persian,ᱯᱟᱹᱨᱥᱤᱭᱟᱹᱱ
Persian ► fa_AF,Dari,ᱰᱟᱨᱤ
Phoenician ► phn,Phoenician,ᱯᱷᱚᱮᱱᱤᱥᱤᱭᱟᱹᱱ
Picard ► pcd,Picard,ᱯᱤᱠᱟᱰ
Piedmontese ► pms,Piedmontese,ᱯᱟᱭᱮᱰᱢᱚᱱᱴᱤᱡᱽ
