Code,English,Santali (Ol Chiki)
T,,
,,
Tachelhit ► shi,Tachelhit,ᱴᱟᱠᱪᱮᱞᱦᱤᱛ
Tagalog ► tl,Tagalog,ᱴᱟᱜᱟᱞᱚᱜ
Tahitian ► ty,Tahitian,ᱴᱟᱤᱚᱳᱮᱚᱯᱳᱮ
Taita ► dav,Taita,ᱴᱟᱭᱴᱟ
Tajik ► tg,Tajik,ᱛᱟᱡᱤᱠ
Talysh ► tly,Talysh,ᱛᱟᱞᱤᱥ
Tamashek ► tmh,Tamashek,ᱛᱟᱢᱟᱥᱮᱠᱷ
Tamil ► ta,Tamil,ᱛᱟᱢᱤᱞ
Taroko ► trv,Taroko,ᱛᱟᱨᱚᱠᱚ
Tasawaq ► twq,Tasawaq,ᱛᱟᱮᱟᱣᱟᱠ
Tatar ► tt,Tatar,ᱴᱟᱴᱚᱨ
Telugu ► te,Telugu,ᱛᱮᱞᱜᱩ
Tereno ► ter,Tereno,ᱛᱮᱨᱮᱱᱚ
Teso ► teo,Teso,ᱴᱮᱥᱚ
Tetum ► tet,Tetum,ᱴᱮᱴᱩᱢ
Thai ► th,Thai,ᱛᱷᱟᱭ
Tibetan ► bo,Tibetan,ᱛᱤᱵᱮᱴᱟᱱ
Tigre ► tig,Tigre,ᱴᱤᱜᱽᱨᱤ
Tigrinya ► ti,Tigrinya,ᱴᱤᱜᱽᱨ
Timne ► tem,Timne,ᱴᱤᱢᱱᱮ
Tiv ► tiv,Tiv,ᱴᱤᱭ
Tlingit ► tli,Tlingit,ᱴᱞᱟᱭᱤᱴ
Tok Pisin ► tpi,Tok Pisin,ᱴᱚᱠ ᱯᱤᱥᱤᱱ
Tokelau ► tkl,Tokelau,ᱴᱚᱠᱮᱞᱟᱣ
Tongan ► to,Tongan,ᱴᱚᱝᱜᱟᱱ
Tornedalen Finnish ► fit,Tornedalen Finnish,ᱴᱚᱨᱱᱮᱱᱰᱟᱞᱮᱱ ᱯᱷᱤᱱᱤᱥ
Tsakhur ► tkr,Tsakhur,ᱥᱟᱠᱷᱩᱣᱟᱨ
Tsakonian ► tsd,Tsakonian,ᱥᱟᱠᱚᱱᱤᱭᱟᱹᱱ
Tsimshian ► tsi,Tsimshian,ᱥᱤᱢᱥᱤᱭᱟᱹᱱ
Tsonga ► ts,Tsonga,ᱥᱚᱝᱟ
Tswana ► tn,Tswana,ᱥᱣᱟᱱᱟ
Tulu ► tcy,Tulu,ᱴᱩᱞᱩ
Tumbuka ► tum,Tumbuka,ᱴᱩᱢᱵᱩᱠᱟ
Tunisian Arabic ► aeb,Tunisian Arabic,ᱴᱩᱱᱤᱥᱤᱭᱟᱱ ᱚᱹᱨᱵᱤ
Turkish ► tr,Turkish,ᱛᱩᱨᱠᱤᱥ
Turkmen ► tk,Turkmen,ᱛᱩᱨᱠᱢᱮᱱ
Turoyo ► tru,Turoyo,ᱴᱩᱨᱭᱚ
Tuvalu ► tvl,Tuvalu,ᱴᱩᱣᱟᱞᱟᱱ
Tuvinian ► tyv,Tuvinian,ᱴᱩᱣᱤᱱᱤᱭᱟᱹᱱ
Twi ► tw,Twi,ᱴᱣᱤ
Tyap ► kcg,Tyap,ᱴᱭᱟᱯ
,,
,,
U,,
,,
Udmurt ► udm,Udmurt,ᱩᱰᱢᱩᱴ
Ugaritic ► uga,Ugaritic,ᱩᱜᱟᱨᱤᱴᱤᱠ
Ukrainian ► uk,Ukrainian,ᱭᱩᱠᱨᱮᱱᱤᱭᱟᱹᱱ
Umbundu ► umb,Umbundu,ᱩᱢᱵᱩᱱᱰᱩ
Unknown language ► und,Unknown language,ᱵᱟᱝ ᱵᱟᱲᱟᱭ ᱯᱟᱹᱨᱥᱤ
Upper Sorbian ► hsb,Upper Sorbian,ᱪᱮᱛᱟᱱ ᱛᱚᱨᱵᱤᱭᱟᱹᱱ
Urdu ► ur,Urdu,ᱩᱨᱫᱩ
Uyghur ► ug,Uyghur,ᱩᱭᱜᱷᱩᱨ
Uyghur ► ug-variant,Uighur,ᱩᱭᱜᱷᱩᱨ
Uzbek ► uz,Uzbek,ᱩᱡᱽᱵᱮᱠ
,,
,,
V,,
,,
Vai ► vai,Vai,ᱵᱷᱟᱭ
Venda ► ve,Venda,ᱣᱮᱱᱰᱟ
Venetian ► vec,Venetian,ᱣᱮᱱᱮᱴᱤᱭᱟᱹᱱ
Veps ► vep,Veps,ᱣᱮᱯᱮ
Vietnamese ► vi,Vietnamese,ᱣᱮᱭᱮᱛᱱᱮᱢᱤᱡᱽ
Volapük ► vo,Volapük,ᱵᱷᱚᱞᱟᱯᱩᱠ
Võro ► vro,Võro,ᱵᱷᱚᱨᱚ
Votic ► vot,Votic,ᱣᱚᱴᱤᱠ
Vunjo ► vun,Vunjo,ᱵᱷᱩᱱᱡᱚ
,,
,,
W,,
,,
Walloon ► wa,Walloon,ᱣᱟᱞᱩᱱ
Walser ► wae,Walser,ᱣᱟᱞᱮᱟᱹᱨ
Waray ► war,Waray,ᱣᱟᱨᱟᱭ
Warlpiri ► wbp,Warlpiri,ᱣᱟᱨᱞᱯᱤᱨᱤ
Washo ► was,Washo,ᱣᱟᱥᱚ
Wayuu ► guc,Wayuu,ᱣᱟᱭᱩ
Welsh ► cy,Welsh,ᱣᱮᱞᱥ
West Flemish ► vls,West Flemish,ᱯᱟᱪᱮ ᱯᱷᱞᱮᱢᱤᱥ
Western Balochi ► bgn,Western Balochi,ᱯᱟᱪᱮ ᱵᱟᱞᱚᱪᱤ
Western Frisian ► fy,Western Frisian,ᱯᱟᱪᱮ ᱯᱷᱨᱤᱥᱤᱭᱟᱹᱱ
Western Mari ► mrj,Western Mari,ᱯᱟᱪᱮ ᱢᱟᱨᱤ
Wolaytta ► wal,Wolaytta,ᱣᱚᱞᱟᱭᱴᱟ
Wolof ► wo,Wolof,ᱣᱚᱞᱚᱯᱷ
Wu Chinese ► wuu,Wu Chinese,ᱣᱩ ᱪᱟᱭᱱᱤᱡᱽ
,,
,,
X,,
,,
Xhosa ► xh,Xhosa,ᱥᱚᱥᱟ
Xiang Chinese ► hsn,Xiang Chinese,ᱥᱤᱭᱟᱝ ᱪᱟᱭᱱᱤᱡᱽ
,,
,,
Y,,
,,
Yangben ► yav,Yangben,ᱭᱟᱝᱵᱮᱱ
Yao ► yao,Yao,ᱭᱟᱣ
Yapese ► yap,Yapese,ᱭᱟᱯᱤᱥ
Yemba ► ybb,Yemba,ᱭᱮᱢᱵᱟ
Yiddish ► yi,Yiddish,ᱭᱤᱫᱤᱥ
Yoruba ► yo,Yoruba,ᱭᱚᱨᱩᱵᱟ
,,
,,
Z,,
,,
Zapotec ► zap,Zapotec,ᱡᱟᱯᱚᱴᱮᱠ
Zarma ► dje,Zarma,ᱡᱟᱨᱢᱟ
Zaza ► zza,Zaza,ᱡᱟᱡᱟ
Zeelandic ► zea,Zeelandic,ᱡᱤᱞᱟᱱᱰᱤᱠ
Zenaga ► zen,Zenaga,ᱡᱮᱱᱟᱜᱟ
Zhuang ► za,Zhuang,ᱡᱷᱩᱣᱟᱝ
Zoroastrian Dari ► gbz,Zoroastrian Dari,ᱡᱚᱨᱚᱣᱟᱥᱴᱨᱤᱭᱟᱱ ᱰᱟᱨᱤ
Zulu ► zu,Zulu,ᱡᱩᱞᱩ
Zuni ► zun,Zuni,ᱡᱩᱱᱤ
,,
,,
,,
