Code,English,Santali Ol Chiki
Arab,Arabic,ᱟᱹᱨᱵᱤ
Arab-variant,Perso-Arabic,ᱯᱟᱹᱨᱥᱚᱼᱟᱹᱨᱵᱤ
Armn,Armenian,ᱟᱨᱢᱮᱱᱤᱭᱟᱹᱱ
Beng,Bangla,ᱵᱟᱝᱜᱞᱟ
Bopo,Bopomofo,ᱵᱚᱯᱚᱢᱚᱯᱷᱚ
Cyrl,Cyrillic,ᱥᱟᱭᱠᱨᱤᱞᱤᱠ
Deva,Devanagari,ᱫᱮᱣᱟᱹᱱᱟᱜᱟᱹᱨᱤ
Ethi,Ethiopic,ᱮᱛᱷᱤᱭᱚᱯᱤᱠ
Geor,Georgian,ᱡᱤᱭᱚᱨᱡᱤᱭᱟᱹᱱ
Grek,Greek,ᱜᱽᱨᱤᱠ
Gujr,Gujarati,ᱜᱩᱡᱨᱟᱴᱤ
Guru,Gurmukhi,ᱜᱩᱨᱩᱢᱩᱠᱷᱤ
Hanb,Han with Bopomofo,ᱦᱟᱱ ᱥᱟᱶ ᱵᱚᱯᱚᱢᱚᱯᱷᱚ
Hang,Hangul,ᱦᱟᱱᱜᱩᱞ
Hani,Han,ᱦᱟᱱ
Hans,Simplified,ᱥᱤᱢᱯᱞᱤᱯᱷᱟᱭᱮᱰ
Hans-stand-alone,Simplified Han,ᱥᱤᱢᱯᱞᱤᱯᱷᱟᱭᱮᱰ ᱦᱟᱱ
Hant,Traditional,ᱴᱨᱟᱰᱤᱥᱚᱱᱟᱞ
Hant-stand-alone,Traditional Han,ᱴᱨᱟᱰᱤᱥᱚᱱᱟᱞ ᱦᱟᱱ
Hebr,Hebrew,ᱦᱮᱵᱽᱨᱤᱣ
Hira,Hiragana,ᱦᱤᱨᱟᱜᱟᱹᱝᱜᱟ
Jamo,Jamo,ᱡᱟᱢᱚ
Jpan,Japanese,ᱡᱟᱯᱟᱱᱤᱡᱽ
Kana,Katakana,ᱠᱟᱴᱟᱠᱟᱱᱟ
Khmr,Khmer,ᱠᱷᱢᱮᱨ
Knda,Kannada,ᱠᱟᱹᱱᱟᱹᱰᱚ
Kore,Korean,ᱠᱚᱨᱤᱭᱟᱹᱱ
Laoo,Lao,ᱞᱟᱣ
Latn,Latin,ᱞᱮᱴᱤᱱ
Mlym,Malayalam,ᱢᱟᱞᱟᱭᱟᱞᱟᱢ
Mymr,Myanmar,ᱢᱭᱟᱢᱟᱨ
Orya,Odia,ᱳᱰᱤᱭᱟ
Sinh,Sinhala,ᱥᱤᱱᱦᱟᱞᱟ
Taml,Tamil,ᱛᱟᱢᱤᱞ
Telu,Telugu,ᱛᱮᱞᱜᱩ
Thaa,Thaana,ᱛᱷᱟᱱᱟ
Thai,Thai,ᱛᱷᱟᱭ
Tibt,Tibetan,ᱛᱤᱵᱮᱛᱟᱱ
Zinh,Inherited,ᱤᱱᱦᱮᱨᱤᱴᱮᱰ
Zyyy,Common,ᱠᱚᱢᱚᱱ
Adlm,Adlam,ᱟᱰᱞᱟᱢ
Bali,Balinese,ᱵᱟᱞᱤᱱᱤᱡᱽ
Bamu,Bamum,ᱵᱟᱢᱩᱱ
Batk,Batak,ᱵᱟᱹᱛᱟᱹᱠ
Cakm,Chakma,ᱪᱷᱟᱠᱢᱟ
Cans,Unified Canadian Aboriginal Syllabics,ᱡᱩᱢᱤᱫ ᱠᱟᱱᱟᱰᱤᱭᱟᱹᱱ ᱮᱵᱚᱨᱤᱡᱤᱱᱟᱞ ᱥᱭᱞᱟᱵᱤᱠᱥ
Cans-short,UCAS,ᱭᱩ ᱥᱤ ᱮ ᱮᱥ
Cham,Cham,ᱪᱷᱟᱢ
Cher,Cherokee,ᱪᱷᱮᱨᱚᱠᱤ
Gong,Gunjala Gondi,ᱜᱩᱱᱡᱟᱞᱟ ᱜᱚᱱᱰᱤ
Hmnp,Nyiakeng Puachue Hmong,ᱱᱟᱭᱟᱠᱮᱝᱜ ᱯᱩᱣᱟᱪᱷᱮ ᱦᱚᱝ
Java,Javanese,ᱡᱟᱣᱟᱱᱤᱡᱽ
Kali,Kayah Li,ᱠᱟᱭᱟᱦ ᱞᱤ
Lana,Lanna,ᱞᱟᱱᱟ
Lepc,Lepcha,ᱞᱮᱯᱪᱟ
Limb,Limbu,ᱞᱤᱢᱵᱩ
Lisu,Fraser,ᱯᱷᱨᱟᱥᱟᱹᱨ
Mand,Mandaean,ᱢᱟᱱᱰᱤᱭᱟᱹᱱ
Mtei,Meitei Mayek,ᱢᱮᱭᱛᱤ ᱢᱟᱭᱮᱠ
Newa,Newa,ᱱᱮᱣᱟ
Nkoo,N’Ko,ᱮᱱᱠᱚ
Olck,Ol Chiki,ᱚᱞ ᱪᱤᱠᱤ
Osge,Osage,ᱚᱥᱟᱜᱽ
Plrd,Pollard Phonetic,ᱯᱚᱞᱟᱨᱰ ᱯᱷᱚᱱᱮᱴᱤᱠ
Rohg,Hanifi Rohingya,ᱦᱟᱱᱤᱯᱷᱤ ᱨᱚᱦᱤᱭᱮᱝᱜᱟ
Saur,Saurashtra,ᱥᱟᱣᱨᱟᱥᱴᱨᱚ
Sund,Sundanese,ᱥᱩᱱᱰᱟᱱᱤᱡᱽ
Sylo,Syloti Nagri,ᱥᱟᱭᱞᱚᱛᱤ ᱱᱟᱜᱽᱨᱤ
Syrc,Syriac,ᱥᱭᱨᱤᱭᱟᱠ
Tale,Tai Le,ᱛᱟᱭ ᱞᱮ
Talu,New Tai Lue,ᱱᱟᱶᱟ ᱛᱟᱭ ᱞᱣᱮ
Tavt,Tai Viet,ᱛᱟᱭ ᱵᱷᱤᱭᱮᱛ
Tfng,Tifinagh,ᱴᱤᱯᱷᱤᱱᱟᱜᱷ
Vaii,Vai,ᱣᱟᱭ
Wcho,Wancho,ᱣᱟᱱᱪᱩ
