Code,English,Santali (Ol Chiki)
DZ,Algeria,ᱟᱞᱡᱮᱨᱤᱭᱟ
EG,Egypt,ᱤᱡᱤᱯᱴ
EH,Western Sahara,ᱯᱟᱪᱮᱤᱭᱟᱹ ᱥᱟᱦᱟᱨᱟ
LY,Libya,ᱞᱤᱵᱤᱭᱟ
MA,Morocco,ᱢᱚᱨᱚᱠᱚ
SD,Sudan,ᱥᱩᱫᱟᱱ
TN,Tunisia,ᱛᱩᱱᱤᱥᱤᱭᱟ
EA,Ceuta & Melilla,ᱥᱮᱣᱴᱟ ᱟᱨ ᱢᱮᱞᱤᱞᱟ
IC,Canary Islands,ᱠᱟᱱᱟᱨᱭ ᱟᱭᱞᱮᱱᱰᱥ
BF,Burkina Faso,ᱵᱩᱨᱠᱤᱱᱟ ᱯᱟᱥᱚ
BJ,Benin,ᱵᱮᱱᱤᱱ
CI,Côte d’Ivoire,ᱠᱚᱴᱮ ᱰᱮ ᱤᱣᱚᱨᱮ
CI-variant,Ivory Coast,ᱤᱣᱚᱨᱤ ᱫᱷᱤᱯ
CV,Cape Verde,ᱠᱮᱯ ᱣᱟᱹᱨᱰᱮ
CV-variant,Cabo Verde,ᱠᱟᱵᱚ ᱣᱟᱹᱨᱰᱮ
GH,Ghana,ᱜᱷᱟᱱᱟ
GM,Gambia,ᱜᱟᱢᱵᱤᱭᱟ
GN,Guinea,ᱜᱩᱭᱱᱤᱭᱟ
GW,Guinea-Bissau,ᱜᱩᱭᱱᱤᱭᱟᱼᱵᱤᱥᱟᱣ
LR,Liberia,ᱞᱤᱵᱮᱨᱤᱭᱟ
ML,Mali,ᱢᱟᱞᱤ
MR,Mauritania,ᱢᱟᱣᱨᱤᱴᱟᱱᱤᱭᱟ
NE,Niger,ᱱᱟᱭᱜᱟᱹᱨ
NG,Nigeria,ᱱᱟᱭᱡᱮᱨᱤᱭᱟ
SH,St. Helena,ᱥᱮᱸᱴ ᱦᱮᱞᱮᱱᱟ
SL,Sierra Leone,ᱥᱤᱭᱮᱨᱟ ᱞᱤᱭᱚᱱᱮ
SN,Senegal,ᱥᱮᱱᱮᱜᱮᱞ
TG,Togo,ᱴᱚᱜᱚ
AO,Angola,ᱟᱱᱜᱚᱞᱟ
CD,Congo - Kinshasa,ᱠᱚᱝᱜᱚᱼᱠᱤᱱᱥᱟᱥᱟ
CD-variant,Congo (DRC),ᱠᱚᱝᱜᱚ (ᱰᱤ ᱟᱨ ᱥᱤ)
CF,Central African Republic,ᱛᱟᱞᱟ ᱟᱯᱷᱨᱤᱠᱟᱱ ᱨᱤᱯᱟᱹᱵᱞᱤᱠ
CG,Congo - Brazzaville,ᱠᱚᱝᱜᱚᱼᱵᱽᱨᱟᱡᱟᱣᱤᱞᱮ
CG-variant,Congo (Republic),ᱠᱚᱝᱜᱚ (ᱨᱤᱯᱟᱹᱵᱞᱤᱠ)
CM,Cameroon,ᱠᱮᱢᱨᱩᱱ
GA,Gabon,ᱜᱟᱵᱚᱱ
GQ,Equatorial Guinea,ᱤᱠᱣᱤᱴᱚᱨᱤᱭᱟᱹᱞ ᱜᱩᱭᱱᱟ
ST,São Tomé & Príncipe,ᱥᱟᱶ ᱴᱚᱢᱮ ᱟᱨ ᱯᱨᱤᱱᱥᱤᱯᱮ
TD,Chad,ᱪᱷᱟᱰ
BI,Burundi,ᱵᱩᱨᱩᱱᱰᱤ
DJ,Djibouti,ᱡᱤᱵᱚᱣᱴᱤ
ER,Eritrea,ᱮᱨᱤᱴᱨᱮᱭᱟ
ET,Ethiopia,ᱤᱛᱷᱤᱭᱚᱯᱤᱭᱟ
IO,British Indian Ocean Territory,ᱵᱽᱨᱤᱴᱤᱥ ᱤᱱᱰᱤᱭᱟᱱ ᱚᱥᱤᱭᱟᱱ ᱴᱮᱨᱤᱴᱳᱨᱤ
KE,Kenya,ᱠᱮᱱᱭᱟ
KM,Comoros,ᱠᱚᱢᱚᱨᱚᱥ
MG,Madagascar,ᱢᱟᱰᱟᱜᱽᱥᱠᱟᱨ
MU,Mauritius,ᱢᱳᱣᱨᱤᱴᱤᱭᱟᱥ
MW,Malawi,ᱢᱟᱞᱟᱣᱤ
MZ,Mozambique,ᱢᱚᱡᱟᱢᱵᱤᱠ
RE,Réunion,ᱨᱚᱱᱤᱭᱟᱱ
RW,Rwanda,ᱨᱣᱟᱱᱰᱟ
SC,Seychelles,ᱥᱤᱪᱮᱭᱞᱮᱥ
SO,Somalia,ᱥᱚᱢᱟᱞᱤᱭᱟ
SS,South Sudan,ᱠᱚᱸᱭᱮ ᱥᱩᱰᱟᱱ
TF,French Southern Territories,ᱯᱷᱨᱮᱧᱪ ᱠᱚᱸᱭᱮᱟᱨᱱ ᱴᱮᱨᱤᱴᱳᱨᱤᱡᱽ
TZ,Tanzania,ᱛᱟᱧᱡᱚᱱᱤᱭᱟ
UG,Uganda,ᱩᱜᱟᱱᱰᱟ
YT,Mayotte,ᱢᱟᱭᱳᱴ
ZM,Zambia,ᱡᱟᱢᱵᱤᱭᱟ
ZW,Zimbabwe,ᱡᱤᱢᱵᱟᱵᱽᱣᱮ
BW,Botswana,ᱵᱚᱴᱥᱣᱟᱱᱟ
LS,Lesotho,ᱞᱮᱥᱚᱴᱷᱚ
NA,Namibia,ᱱᱟᱢᱤᱵᱤᱭᱟ
SZ,Eswatini,ᱤᱥᱣᱟᱛᱤᱱᱤ
SZ-variant,Swaziland,ᱥᱣᱟᱡᱤᱞᱮᱱᱰ
ZA,South Africa,ᱠᱚᱸᱭᱮ ᱟᱯᱷᱨᱤᱠᱟ
