Code,English,Santali Ol Chiki
GG,Guernsey,ᱜᱣᱮᱨᱱᱮᱥᱮ
IM,Isle of Man,ᱤᱥᱞᱮ ᱚᱯᱷ ᱢᱮᱱ
JE,Jersey,ᱡᱟᱹᱨᱥᱤ
AX,Åland Islands,ᱟᱸᱞᱮᱸᱰ ᱫᱣᱤᱯ
DK,Denmark,ᱰᱮᱱᱢᱟᱨᱠ
EE,Estonia,ᱤᱥᱴᱚᱱᱤᱭᱟ
FI,Finland,ᱯᱷᱤᱱᱞᱮᱱᱰ
FO,Faroe Islands,ᱯᱷᱟᱨᱚᱭ ᱫᱣᱤᱯ
GB,United Kingdom,ᱭᱩᱱᱟᱭᱴᱮᱰ ᱠᱤᱝᱰᱚᱢ
GB-short,UK,ᱭᱩᱠᱮ
gbeng,England,ᱤᱝᱞᱮᱸᱰ
gbsct,Scotland,ᱥᱠᱴᱞᱚᱭᱸᱰ
gbwls,Wales,ᱣᱮᱞᱥ
IE,Ireland,ᱟᱭᱟᱨᱞᱮᱸᱱᱰ
IS,Iceland,ᱟᱭᱤᱥᱞᱮᱸᱱᱰ
LT,Lithuania,ᱞᱤᱛᱷᱩᱣᱟᱱᱤᱭᱟ
LV,Latvia,ᱞᱮᱴᱣᱤᱭᱟ
NO,Norway,ᱱᱚᱨᱣᱮᱭ
SE,Sweden,ᱥᱣᱤᱰᱮᱱ
SJ,Svalbard & Jan Mayen,ᱥᱵᱷᱟᱞᱵᱟᱰ ᱟᱨ ᱡᱟᱱ ᱢᱮᱭᱮᱱ
AT,Austria,ᱚᱥᱴᱨᱤᱭᱟ
BE,Belgium,ᱵᱮᱞᱜᱤᱭᱟᱹᱢ
CH,Switzerland,ᱥᱣᱤᱡᱟᱹᱨᱞᱮᱸᱱᱰ
DE,Germany,ᱡᱟᱹᱨᱢᱟᱹᱱᱤ
FR,France,ᱯᱷᱨᱟᱱᱥ
LI,Liechtenstein,ᱞᱤᱪᱮᱥᱴᱟᱭᱤᱱ
LU,Luxembourg,ᱞᱩᱥᱮᱢᱵᱚᱨᱜ
MC,Monaco,ᱢᱚᱱᱚᱠᱚ
NL,Netherlands,ᱱᱤᱫᱚᱨᱞᱮᱸᱱᱰᱥ
BG,Bulgaria,ᱵᱩᱞᱡᱮᱨᱤᱭᱟ
BY,Belarus,ᱵᱮᱞᱟᱨᱩᱥ
CZ,Czechia,ᱪᱮᱠᱤᱭᱟ
CZ-variant,Czech Republic,ᱪᱮᱠ ᱨᱤᱯᱟᱹᱵᱞᱤᱠ
HU,Hungary,ᱦᱩᱝᱜᱟᱨᱤ
MD,Moldova,ᱢᱚᱞᱰᱚᱣᱟ
PL,Poland,ᱯᱚᱞᱮᱸᱱᱰ
RO,Romania,ᱨᱚᱢᱟᱱᱤᱭᱟ
RU,Russia,ᱨᱩᱥᱤᱭᱟ
SK,Slovakia,ᱥᱞᱚᱣᱟᱠᱤᱭᱟ
UA,Ukraine,ᱣᱭᱩᱠᱨᱮᱱ
AD,Andorra,ᱮᱱᱰᱚᱨᱟ
AL,Albania,ᱟᱹᱞᱵᱮᱱᱤᱭᱟ
BA,Bosnia & Herzegovina,ᱵᱚᱥᱱᱤᱭᱟ ᱟᱨ ᱦᱟᱹᱨᱡᱮᱜᱚᱣᱤᱱᱟ
BA-short,Bosnia,ᱵᱚᱥᱱᱤᱭᱟ
ES,Spain,ᱥᱯᱮᱱ
GI,Gibraltar,ᱜᱤᱵᱽᱨᱟᱞᱴᱟᱹᱨ
GR,Greece,ᱜᱽᱨᱤᱥ
HR,Croatia,ᱠᱨᱚᱮᱥᱤᱭᱟ
IT,Italy,ᱤᱴᱞᱤ
ME,Montenegro,ᱢᱚᱱᱴᱮᱱᱮᱜᱽᱨᱚ
MK,North Macedonia,ᱩᱛᱚᱨ ᱠᱚᱨᱤᱭᱟ
MT,Malta,ᱢᱟᱞᱴᱟ
RS,Serbia,ᱥᱟᱹᱨᱵᱤᱭᱟ
PT,Portugal,ᱯᱚᱨᱛᱩᱜᱟᱞ
SI,Slovenia,ᱥᱞᱚᱣᱮᱱᱤᱭᱟ
SM,San Marino,ᱥᱟᱱ ᱢᱟᱨᱤᱱᱚ
VA,Vatican City,ᱣᱮᱴᱤᱠᱟᱱ ᱥᱤᱴᱭ
XK,Kosovo,ᱠᱚᱥᱚᱣᱚ
