Code,English,Santali Ol Chiki
AU,Australia,ᱚᱥᱴᱨᱮᱞᱤᱭᱟ
CC,Cocos (Keeling) Islands,ᱠᱚᱠᱚᱥ(ᱠᱤᱞᱤᱝ) ᱫᱣᱤᱯ ᱠᱚ
CX,Christmas Island,ᱠᱨᱤᱥᱴᱢᱟᱹᱥ ᱫᱭᱤᱯ
HM,Heard & McDonald Islands,ᱢᱟᱹᱨᱰ ᱟᱭᱞᱮᱸᱱᱰ ᱟᱨ ᱢᱮᱠᱰᱚᱱᱟᱞᱰ ᱟᱭᱞᱮᱸᱱᱰᱥ
NF,Norfolk Island,ᱱᱚᱨᱯᱷᱚᱠ ᱫᱭᱤᱯ
NZ,New Zealand,ᱱᱭᱩ ᱡᱤᱞᱮᱸᱱᱰ
FJ,Fiji,ᱯᱷᱤᱡᱤ
NC,New Caledonia,ᱱᱟᱣᱟ ᱠᱮᱞᱮᱰᱚᱱᱤᱭᱟ
PG,Papua New Guinea,ᱯᱟᱯᱩᱟ ᱱᱤᱭᱩ ᱡᱤᱱᱤᱭᱟ
SB,Solomon Islands,ᱥᱚᱞᱚᱢᱚᱱ ᱫᱩᱭᱤᱯ
VU,Vanuatu,ᱵᱷᱟᱱᱟᱩᱛᱩ
FM,Micronesia,ᱢᱟᱭᱠᱨᱚᱱᱮᱥᱤᱭᱟ
GU,Guam,ᱜᱩᱟᱢ
KI,Kiribati,ᱠᱤᱨᱤᱵᱟᱛᱤ
MH,Marshall Islands,ᱢᱟᱨᱥᱟᱞ ᱟᱭᱞᱮᱸᱱᱰᱥ
MP,Northern Mariana Islands,ᱱᱚᱨᱫᱟᱹᱱ ᱢᱟᱨᱤᱭᱟᱱᱟ ᱟᱭᱞᱮᱸᱱᱰᱥ
NR,Nauru,ᱱᱟᱣᱨᱩ
PW,Palau,ᱯᱟᱞᱟᱣ
UM,U.S. Outlying Islands,ᱭᱩ.ᱮᱥ. ᱟᱩᱴᱞᱟᱭᱤᱝ ᱫᱩᱭᱤᱯ
AS,American Samoa,ᱟᱢᱮᱨᱤᱠᱟᱱ ᱥᱟᱢᱚᱟ
CK,Cook Islands,ᱠᱩᱠ ᱫᱤᱯ
NU,Niue,ᱱᱤᱣ
PF,French Polynesia,ᱯᱷᱨᱮᱧᱪ ᱯᱚᱞᱤᱱᱮᱥᱤᱭᱟ
PN,Pitcairn Islands,ᱯᱤᱴᱠᱟᱭᱨᱟᱱ ᱫᱣᱤᱯ
TK,Tokelau,ᱴᱚᱠᱮᱞᱟᱣ
TO,Tonga,ᱴᱚᱝᱜᱟ
TV,Tuvalu,ᱴᱩᱣᱟᱞᱩ
WF,Wallis & Futuna,ᱣᱟᱞᱤᱥ ᱟᱨ ᱯᱷᱩᱴᱩᱢᱟ
WS,Samoa,ᱥᱟᱢᱟᱣ
AQ,Antarctica,ᱟᱹᱱᱴᱟᱨᱠᱴᱤᱠᱟ
AC,Ascension Island,ᱵᱚᱩᱣᱮᱴ ᱟᱭᱞᱮᱸᱱᱰ
CP,Clipperton Island,ᱠᱞᱤᱯᱟᱹᱨᱴᱚᱱ ᱟᱭᱞᱮᱸᱱᱰ
DG,Diego Garcia,ᱰᱤᱭᱮᱜᱟ ᱜᱟᱨᱥᱤᱭᱟᱹ
TA,Tristan da Cunha,ᱛᱨᱤᱥᱴᱟᱱ ᱫᱟ ᱠᱩᱱᱦᱟ
