Code,English,Santali
2,{0} and {1},{0} ᱟᱨ {1}
start,"{0}, {1}","{0}, {1}"
middle,"{0}, {1}","{0}, {1}"
end,"{0}, and {1}","{0}, ᱟᱨ {1}"
2,{0} & {1},{0} ᱟᱨ {1}
start,"{0}, {1}","{0}, {1}"
middle,"{0}, {1}","{0}, {1}"
end,"{0}, & {1}","{0}, ᱟᱨ {1}"
2,"{0}, {1}","{0}, {1}"
start,"{0}, {1}","{0}, {1}"
middle,"{0}, {1}","{0}, {1}"
end,"{0}, {1}","{0}, {1}"
2,{0} or {1},{0} ᱟᱨ ᱵᱟᱝ {1}
start,"{0}, {1}","{0}, {1}"
middle,"{0}, {1}","{0}, {1}"
end,"{0}, or {1}","{0}, ᱟᱨ ᱵᱟᱝ {1}"
2,"{0}, {1}","{0}, {1}"
start,"{0}, {1}","{0}, {1}"
middle,"{0}, {1}","{0}, {1}"
end,"{0}, {1}","{0}, {1}"
2,"{0}, {1}","{0}, {1}"
start,"{0}, {1}","{0}, {1}"
middle,"{0}, {1}","{0}, {1}"
end,"{0}, {1}","{0}, {1}"
2,{0} {1},{0} {1}
start,{0} {1},{0} {1}
middle,{0} {1},{0} {1}
end,{0} {1},{0} {1}
