//Time

Day	ᱫᱤᱱ
Week	ᱦᱟᱴ
Month	ᱪᱟᱸᱫᱚ
Year	ᱥᱮᱨᱢᱟ
Hour	ᱴᱟᱲᱟᱝ
Minute	ᱴᱤᱯᱤᱡ
Second	ᱴᱤᱡ

// Colours

Black	ᱦᱮᱸᱫᱮ
Blue	ᱞᱤᱞ
Red	ᱟᱨᱟᱜ
Green	ᱦᱟ.ᱨᱤᱭᱟ.ᱲ
White	ᱯᱩᱸᱰ
Yellow	ᱥᱟᱥᱟᱝ
Brown	ᱢᱟᱴᱤᱭᱟᱲ
Orange 	ᱜᱮᱨᱩᱟ
Brinjal	 ᱵᱮᱱᱜᱩᱱᱤ

//Days and Months

Sunday	ᱥᱤᱸᱜᱩᱱ
Monday	ᱚᱛᱮ
Tuesday	ᱵᱟᱞᱮ
Wednesday	ᱥᱟ.ᱜᱩᱱ
Thursday	ᱥᱟ.ᱨᱫᱤ
Friday	ᱡᱟ.ᱨᱩᱵ
Saturday	ᱧᱩᱸᱦᱩᱢ
January	ᱡᱟᱱᱩᱟᱨᱤ
February	ᱯᱦᱮᱵᱨᱩᱟᱨᱭ
March	ᱢᱟᱨᱪ
April	ᱮᱯᱨᱤᱞ
May	ᱢᱮᱭ
June	ᱡᱩᱱ
July	ᱡᱩᱞᱭ
August	ᱟᱜᱚᱥᱴ
September	ᱥᱮᱯᱴᱮᱢᱵᱚᱨ
October	ᱚᱠᱴᱚᱵᱚᱨ
November	ᱱᱚᱵᱷᱮᱢᱵᱚᱨ
December	ᱰᱤᱥᱮᱢᱵᱚᱨ
