ᱥᱟᱱᱛᱟᱲᱤ,English,(ᱧᱩᱸ) ᱯᱟᱹᱨᱥᱤ ᱧᱩᱛᱩᱢ
ᱚ,O,(ᱧᱩᱸ) ᱯᱩᱭᱞᱩ ᱪᱤᱠᱤ ᱟᱹᱲᱟᱹ
ᱚ,anger,(ᱧᱩᱸ) ᱨᱟᱹᱜᱤ ; exclamation of anger
ᱚᱛ,Universe,(ᱧᱩᱸ) ᱚᱛ ᱥᱮᱨᱢᱟ
ᱚᱛ,world,(ᱧᱩᱸ) ᱚᱛ ᱥᱮᱨᱢᱟ
ᱚᱛ,earth,(ᱧᱩᱸ) ᱚᱛ ᱥᱮᱨᱢᱟ
ᱚᱛ,soil,(ᱧᱩᱸ) ᱚᱛ ᱥᱮᱨᱢᱟ
ᱚᱛ ᱠᱩᱱᱟᱹᱢᱤ,full moon,(ᱧᱩᱸ) ᱠᱩᱱᱟᱹᱢᱤ ; ᱯᱷᱟᱹᱜᱩᱱ ᱚᱛ ᱠᱩᱱᱟᱹᱢᱤ
ᱚᱛ ᱠᱳᱸᱫᱽᱨᱳ,leguminous plant,(ᱧᱩᱸ) ᱫᱟᱨᱮ
ᱚᱛ ᱢᱩᱨᱩᱫ,Small leguminous plant,(ᱧᱩᱸ) ᱫᱟᱨᱮ
ᱚᱛ ᱩᱜᱴᱟᱹᱭᱤᱡ,velid name for a pig,(ᱧᱩᱸ) ᱥᱩᱠᱨᱤ
ᱚᱛᱮ,monday,
ᱚᱜᱽᱷᱟᱢ,Ogham,
ᱚᱞ ᱪᱤᱠᱤ,Ol Chiki,
ᱚᱠᱟ ᱯᱟᱹᱨᱥᱤ ᱵᱟᱹᱱᱩᱜᱼᱟ,No linguistic content,
ᱚᱠᱴᱚᱵᱚᱨ,october,
ᱚᱥᱟᱜᱽ,Osage,
ᱚᱥᱢᱟᱱᱭᱟ,Osmanya,
ᱚᱥᱴᱨᱤᱭᱟ ᱡᱟᱨᱢᱟᱱ,Austrian German,
ᱚᱥᱴᱨᱮᱞᱤᱭᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ,Australian English,
ᱚᱨᱠᱷᱚᱱ,Orkhon,
ᱚᱫᱟ,ginger,
ᱚᱮᱴᱩᱨᱤᱭᱟᱹᱱ,Asturian,
ᱚᱱᱟ,that,
ᱚᱲᱟᱜ,House,(ᱧᱩᱸ)
ᱚᱴᱟ,flour,
ᱛᱚᱛᱠᱟ,back of head,
ᱛᱚᱣᱟ,milk,
ᱛᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱪᱟᱭ,coffee,
ᱛᱟ.ᱨᱩ,palate,
ᱛᱟ.ᱨᱩᱵ,tiger,
ᱛᱟᱞᱟ ᱤᱝᱨᱟᱡᱤ,Middle English,
ᱛᱟᱞᱟ ᱤᱨᱤᱥ,Middle Irish,
ᱛᱟᱞᱟ ᱦᱟᱭ ᱡᱟᱹᱨᱢᱟᱹᱱ,Middle High German,
ᱛᱟᱞᱟ ᱯᱷᱨᱮᱸᱪ,Middle French,
ᱛᱟᱞᱟ ᱰᱚᱪ,Middle Dutch,
ᱛᱟᱞᱤᱥ,Talysh,
ᱛᱟᱡᱤᱠ,Tajik,
ᱛᱟᱢᱟᱥᱮᱠᱷ,Tamashek,
ᱛᱟᱢᱤᱞ,Tamil,
ᱛᱟᱦᱮᱨ,cucumber,
ᱛᱟᱨᱚᱠᱚ,Taroko,
ᱛᱟᱨᱮᱱ,shoulder,
ᱛᱟᱭ ᱞᱮ,Tai Le,
ᱛᱟᱭ ᱵᱷᱤᱭᱮᱛ,Tai Viet,
ᱛᱟᱮᱟᱣᱟᱠ,Tasawaq,
ᱛᱤ,hand,
ᱛᱤᱨᱦᱩᱴᱟ,Tirhuta,
ᱛᱤᱵᱮᱛᱟᱱ,Tibetan,
ᱛᱤᱵᱮᱴᱟᱱ,Tibetan,
ᱛᱤᱷ ᱛᱟᱞᱠᱷᱟ,palm,
ᱛᱩᱨᱠᱢᱮᱱ,Turkmen,
ᱛᱩᱨᱠᱤᱥ,Turkish,
ᱛᱩᱨᱩᱭ,six,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ,sixty,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,sixty six,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨᱮᱞ,sixty nine,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱸᱬᱮ,sixty five,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ,sixty one,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,sixty eight,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ,sixty seven,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱩᱱ,sixty four,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ,sixty three,
ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ,sixty two,
ᱛᱩᱭᱩ,fox,
ᱛᱩᱲ,squirrel,
ᱛᱩᱲᱤ,mustard,
ᱛᱩᱲᱤ ᱥᱩᱱᱩᱢ,mustard oil,
ᱛᱮ,into,
ᱛᱮᱞᱜᱩ,Telugu,
ᱛᱮᱨᱮᱱᱚ,Tereno,
ᱛᱷᱚᱛᱱᱟ,cheek,
ᱛᱷᱟᱭ,Thai,
ᱛᱷᱟᱱᱟ,Thaana,
ᱜᱚᱛᱷᱤᱠ,Gothic,
ᱜᱚᱢᱵᱟ,Ngomba,
ᱜᱚᱣᱟᱱ ᱠᱚᱱᱠᱟᱱᱤ,Goan Konkani,
ᱜᱚᱨᱚᱱᱴᱟᱞᱚ,Gorontalo,
ᱜᱚᱱᱰᱤ,Gondi,
ᱜᱚᱲᱚᱢ ᱦᱚᱲᱟᱢ,maternal grandfather,
ᱜᱚᱲᱚᱢ ᱦᱟᱲᱟᱢ,grand father,
ᱜᱚᱲᱚᱢ ᱵᱩᱲᱷᱤ,grand mother,
ᱜᱚᱲᱚᱢ ᱵᱩᱲᱷᱤ,maternal grandmother,
ᱜᱞᱟᱜᱚᱞᱤᱴᱤᱠ,Glagolitic,
ᱜᱟ,Ga,
ᱜᱟ.ᱭ,cow,
ᱜᱟᱛᱮ,friend,
ᱜᱟᱜᱟᱩᱡᱽ,Gagauz,
ᱜᱟᱞᱤᱥᱤᱭᱟᱹᱱ,Galician,
ᱜᱟᱡᱚᱨ,carrot,
ᱜᱟᱫᱷᱟ,ass,
ᱜᱟᱭᱟ,Gbaya,
ᱜᱟᱭᱳ,Gayo,
ᱜᱟᱱ ᱪᱟᱭᱱᱤᱡᱽ,Gan Chinese,
ᱜᱟᱱᱰᱟ,Ganda,
ᱜᱣᱤᱪᱤᱱ,Gwichʼin,
ᱜᱤᱞᱟᱠᱤ,Gilaki,
ᱜᱤᱞᱵᱟᱹᱨᱴᱤᱡᱽ,Gilbertese,
ᱜᱤᱡᱽ,Geez,
ᱜᱤᱫᱤ,vulture,
ᱜᱨᱮᱵᱚ,Grebo,
ᱜᱩᱡᱨᱟᱴᱤ,Gujarati,
ᱜᱩᱡᱽᱨᱟᱴᱤ,Gujarati,
ᱜᱩᱣᱟᱨᱟᱱᱤ,Guarani,
ᱜᱩᱥᱤ,Gusii,
ᱜᱩᱦᱩᱢ,wheat,
ᱜᱩᱨᱩ,preceptor,
ᱜᱩᱨᱩᱢᱩᱠᱷᱤ,Gurmukhi,
ᱜᱩᱱᱡᱟᱞᱟ ᱜᱚᱱᱰᱤ,Gunjala Gondi,
ᱜᱩᱱᱩᱱ,Adjective,
ᱜᱮᱞ,ten,
ᱜᱮᱞ ᱛᱩᱨᱩᱭ,sixteen,
ᱜᱮᱞ ᱟᱨᱮᱞ,nineteen,
ᱜᱮᱞ ᱢᱚᱸᱬᱮ,fifteen,
ᱜᱮᱞ ᱢᱤᱫ,eleven,
ᱜᱮᱞ ᱤᱨᱟ.ᱞ,eighteen,
ᱜᱮᱞ ᱮᱭᱟᱭ,seventeen,
ᱜᱮᱞ ᱯᱤᱱ,fourteen,
ᱜᱮᱞ ᱯᱮ,thirteen,
ᱜᱮᱞ ᱵᱟᱨ,twelve,
ᱜᱮᱞᱢᱚᱲᱚᱭ,ten lac,
ᱜᱮᱞᱤᱠ ᱞᱮᱴᱤᱱ,Gaelic Latin,
ᱜᱮᱞᱥᱟᱥᱟᱭ,ten thousand,
ᱜᱮᱨᱩᱟ,orange,
ᱜᱮᱲᱮ,duck,
ᱜᱷᱚᱢᱟᱞᱟ,Ghomala,
ᱜᱷᱟᱱᱴᱟᱲ,jack fruit,
ᱜᱷᱮᱜᱽ ᱟᱞᱵᱟᱱᱤᱭᱟᱹᱱ,Gheg Albanian,
ᱜᱽᱨᱟᱱᱛᱷᱟ,Grantha,
ᱜᱽᱨᱤᱠ,Greek,
ᱞᱚ ᱡᱟᱹᱨᱢᱟᱹᱱ,Low German,
ᱞᱚ ᱥᱟᱠᱥᱚᱱ,Low Saxon,
ᱞᱚᱞᱚ,hot,
ᱞᱚᱡᱤ,Lozi,
ᱞᱚᱡᱽᱵᱟᱱ,Lojban,
ᱞᱚᱢᱟ,Loma,
ᱞᱚᱢᱵᱟᱨᱰ,Lombard,
ᱞᱚᱣᱟᱹᱨ ᱥᱚᱨᱵᱤᱭᱟᱹᱱ,Lower Sorbian,
ᱞᱚᱣᱟᱹᱨ ᱥᱤᱞᱮᱥᱤᱭᱟᱹᱱ,Lower Silesian,
ᱞᱟᱝᱜᱤ,Langi,
ᱞᱟᱠᱚᱴᱟ,Lakota,
ᱞᱟᱡᱽ,stomach,
ᱞᱟᱡᱽ,Laz,
ᱞᱟᱢᱵᱟ,Lamba,
ᱞᱟᱣ,Lao,
ᱞᱟᱤᱱ,Latin,
ᱞᱟᱦᱟᱱᱰᱟ,Lahnda,
ᱞᱟᱭᱥᱤᱭᱟᱹᱱ,Lycian,
ᱞᱟᱰᱤᱱᱚ,Ladino,
ᱞᱟᱱᱟ,Lanna,
ᱞᱟᱴᱜᱟᱞᱤᱞᱟᱹᱱ,Latgalian,
ᱞᱟᱴᱤᱣᱟᱱ,Latvian,
ᱞᱣᱚ,Luo,
ᱞᱤᱛᱷᱩᱱᱤᱭᱟᱹᱱ,Lithuanian,
ᱞᱤᱜᱩᱨᱤᱭᱟᱱ,Ligurian,
ᱞᱤᱞ,blue,
ᱞᱤᱢᱵᱩ,Limbu,
ᱞᱤᱢᱵᱩᱨᱜᱤᱥ,Limburgish,
ᱞᱤᱣᱚᱱᱤᱭᱟᱹᱱ,Livonian,
ᱞᱤᱪᱩ,lychee,
ᱞᱤᱱᱜᱟᱞᱟ,Lingala,
ᱞᱤᱱᱜᱩᱣᱟ ᱯᱷᱨᱟᱱᱠᱟ ᱱᱚᱣᱟ,Lingua Franca Nova,
ᱞᱤᱴᱟᱹᱨᱟᱨᱤ ᱪᱟᱭᱱᱤᱡᱽ,Literary Chinese,
ᱞᱩᱛᱩᱨ,ear,
ᱞᱩᱞᱮ ᱥᱟᱢᱤ,Lule Sami,
ᱞᱩᱠᱥᱮᱢᱵᱚᱨᱜᱤᱥ,Luxembourgish,
ᱞᱩᱣᱤᱥᱮᱱᱚ,Luiseno,
ᱞᱩᱭᱤᱭᱟ,Luyia,
ᱞᱩᱭᱥᱤᱭᱟᱱᱟ ᱠᱨᱮᱚᱞᱮ,Louisiana Creole,
ᱞᱩᱱᱰᱟ,Lunda,
ᱞᱩᱴᱤ,lip,
ᱞᱩᱵᱟᱼᱞᱩᱞᱩᱣᱟ,Luba-Lulua,
ᱞᱩᱵᱟᱼᱠᱟᱹᱡᱟᱹᱝᱜᱟ,Luba-Katanga,
ᱞᱭᱰᱤᱭᱟᱹᱱ,Lydian,
ᱞᱮᱡᱽᱜᱷᱤᱭᱟᱱ,Lezghian,
ᱞᱮᱯᱪᱟ,Lepcha,
ᱞᱮᱴᱠᱟ ᱪᱮᱸᱬᱮ,sparrow,
ᱞᱮᱴᱤᱱ,Latin,
ᱞᱮᱴᱤᱱ ᱟᱢᱮᱨᱤᱠᱟᱱ ᱥᱯᱮᱱᱤᱥ,Latin American Spanish,
ᱟ,Unknown,
ᱟ.ᱞᱩ,potato,
ᱟᱜᱚᱥᱴ,august,
ᱟᱜᱷᱮᱢ,Aghem,
ᱟᱝᱜᱽᱨᱮᱡᱤ,English,
ᱟᱞᱜᱟᱣᱟᱠᱟᱱ ᱢᱟᱫᱟᱨᱤᱱ ᱪᱟᱭᱱᱤᱡᱽ,Simplified Mandarin Chinese,
ᱟᱞᱜᱟᱣᱟᱠᱟᱱ ᱪᱟᱭᱱᱤᱡᱽ,Simplified Chinese,
ᱟᱞᱟᱝ,tongue,
ᱟᱞᱟᱵᱟᱢᱟ,Alabama,
ᱟᱞᱡᱮᱨᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ,Algerian Arabic,
ᱟᱞᱮ,we,
ᱟᱞᱮᱩᱴ,Aleut,
ᱟᱞᱵᱟᱱᱤᱭᱟᱹᱱ,Albanian,
ᱟᱠᱟᱰᱤᱭᱟᱹᱱ,Akkadian,
ᱟᱠᱩᱡᱽ,Akoose,
ᱟᱠᱮᱱ,Akan,
ᱟᱠᱷᱤᱱᱤᱡᱽ,Achinese,
ᱟᱡ,he/she,
ᱟᱡ(ᱠᱩᱲᱤ),she,
ᱟᱢ,you,
ᱟᱢᱜᱮ,you only,
ᱟᱢᱟᱜ,your,
ᱟᱢᱮᱨᱤᱠᱟ,America,
ᱟᱢᱮᱨᱤᱠᱟᱱ ᱟᱝᱜᱽᱨᱮᱡᱤ,American English,
ᱟᱣᱟᱨᱤᱠ,Avaric,
ᱟᱣᱮᱥᱴᱟᱱ,Avestan,
ᱟᱤᱩ,Asu,
ᱟᱥᱟᱢᱤᱡᱽ,Assamese,
ᱟᱨ,and,
ᱟᱨᱚᱢᱟᱱᱤᱭᱟᱹᱱ,Aromanian,
ᱟᱨᱜᱚᱱᱤᱡᱽ,Aragonese,
ᱟᱨᱟᱚᱱᱟ,Araona,
ᱟᱨᱟᱜ,red,
ᱟᱨᱟᱜ ᱢᱩᱞᱟ,carrot,
ᱟᱨᱟᱜ ᱢᱩᱞᱟ.,turnip,
ᱟᱨᱟᱢᱟᱭᱤᱠ,Aramaic,
ᱟᱨᱟᱣᱟᱠ,Arawak,
ᱟᱨᱟᱯᱟᱦᱚ,Arapaho,
ᱟᱨᱢᱮᱱᱤᱭᱟᱹᱱ,Armenian,
ᱟᱨᱮᱞ,nine,
ᱟᱨᱮᱞ ᱜᱮᱞ,ninety,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,ninety six,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱟᱨᱮᱞ,ninety nine,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ,ninety five,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱢᱤᱫ,ninety one,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,ninety eight,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱮᱭᱟᱭ,ninety seven,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱩᱱ,ninety four,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱯᱮ,ninety three,
ᱟᱨᱮᱞ ᱜᱮᱞ ᱵᱟᱨ,ninety two,
ᱟᱨᱯᱤᱴᱟᱱ,Arpitan,
ᱟᱨᱵᱟᱝ,or,
ᱟᱪᱟᱨ,pickle,
ᱟᱪᱮᱛ,pupil,
ᱟᱭᱢᱟ ᱯᱟᱹᱨᱤ,Multiple languages,
ᱟᱭᱢᱟᱨᱟ,Aymara,
ᱟᱭᱤᱥᱞᱮᱱᱰᱤᱠ,Icelandic,
ᱟᱭᱱᱩ,Ainu,
ᱟᱭᱳ,mother,
ᱟᱯᱷᱟᱠᱟ,Afaka,
ᱟᱯᱷᱨᱤᱠᱟᱱᱥ,Afrikaans,
ᱟᱰᱞᱟᱢ,Adlam,
ᱟᱱᱟᱨ,pomegranate,
ᱟᱱᱟᱴᱚᱞᱤᱭᱟᱹᱱ ᱦᱟᱭᱨᱚᱡᱷᱟᱞᱠᱟᱣ,Anatolian Hieroglyphs,
ᱟᱴᱥᱟᱢ,Atsam,
ᱟᱸᱜᱩᱨ,grape,
ᱟᱹᱝᱜᱤᱠᱟ,Angika,
ᱟᱹᱞᱟᱝ,we two,
ᱟᱹᱠᱚᱞᱤ,Acoli,
ᱟᱹᱡᱟᱹᱨᱵᱮᱭᱡᱟᱱᱤ,Azerbaijani,
ᱟᱹᱡᱮᱨᱤ,Azeri,
ᱟᱹᱢᱦᱟᱹᱨᱤᱠ,Amharic,
ᱟᱹᱢᱮᱨᱤᱠᱟᱹᱱ ᱪᱤᱱᱦᱟᱹ ᱯᱟᱹᱨᱥᱤ,American Sign Language,
ᱟᱹᱣᱫᱷᱤ,Awadhi,
ᱟᱹᱣᱮᱥᱴᱟᱱ,Avestan,
ᱟᱹᱦᱚᱢ,Ahom,
ᱟᱹᱨᱵᱤ,Arabic,
"ᱟᱹᱨᱵᱤ, ᱱᱟᱹᱡᱽᱫᱤ","Arabic, Najdi",
ᱟᱹᱯᱷᱟᱹᱨ,Afar,
ᱟᱹᱯᱷᱨᱤᱦᱤᱞᱤ,Afrihili,
ᱟᱹᱰᱟᱱᱜᱢᱮ,Adangme,
ᱟᱹᱰᱤᱜᱷᱮ,Adyghe,
ᱟᱹᱵᱠᱷᱟᱡᱤᱭᱟᱹᱱ,Abkhazian,
ᱠᱚ,are,
ᱠᱚᱝᱜᱚ,Kongo,
ᱠᱚᱝᱜᱚ ᱥᱣᱟᱦᱤᱞᱤ,Congo Swahili,
ᱠᱚᱞᱚᱜᱱᱤᱭᱟᱹᱱ,Colognian,
ᱠᱚᱞᱴᱤᱠ,Coptic,
ᱠᱚᱡᱚᱨ,owl,
ᱠᱚᱢ,Kom,
ᱠᱚᱢᱚᱨᱤᱭᱟᱹᱱ,Comorian,
ᱠᱚᱢᱚᱱ,Common,
"ᱠᱚᱢᱞᱟ, ᱡᱟ.ᱢᱵᱤᱨ",orange,
ᱠᱚᱢᱤ,Komi,
ᱠᱚᱢᱤᱼᱡᱟᱹᱨᱢᱤᱭᱟᱠ,Komi-Permyak,
ᱠᱚᱥᱨᱟᱤᱭᱟᱹᱱ,Kosraean,
ᱠᱚᱨᱚ,Koro,
ᱠᱚᱨᱟᱥᱢᱤᱭᱟᱹᱱ,Chorasmian,
ᱠᱚᱨᱤᱭᱟᱹᱱ,Korean,
ᱠᱚᱨᱥᱤᱠᱟᱱ,Corsican,
ᱠᱚᱨᱱᱤᱥ,Cornish,
ᱠᱚᱭᱨᱟ ᱪᱷᱤᱱᱤ,Koyra Chiini,
ᱠᱚᱭᱨᱟᱵᱚᱨᱚ ᱥᱮᱱᱤ,Koyraboro Senni,
ᱠᱚᱯᱴᱤᱠ,Coptic,
ᱠᱚᱱᱠᱟᱱᱤ,Konkani,
ᱠᱚᱲᱟᱢ,chest,
ᱠᱚᱴᱟᱣᱟ,Kotava,
ᱠᱚᱸᱭᱮ ᱟᱹᱞᱛᱟᱭ,Southern Altai,
ᱠᱚᱸᱭᱮ ᱠᱩᱨᱫᱤᱥ,Southern Kurdish,
ᱠᱚᱸᱭᱮ ᱥᱚᱛᱷᱚ,Southern Sotho,
ᱠᱚᱸᱭᱮ ᱥᱟᱢᱤ,Southern Sami,
ᱠᱚᱸᱭᱮ ᱱᱮᱵᱮᱞᱮ,South Ndebele,
ᱠᱞᱟᱥᱤᱠᱟᱞ ᱥᱭᱨᱤᱭᱟᱠ,Classical Syriac,
ᱠᱞᱟᱥᱤᱠᱟᱠ ᱱᱮᱣᱟᱨᱤ,Classical Newari,
ᱠᱞᱤᱝᱜᱚᱱ,Klingon,
ᱠᱟ.ᱠᱤ,aunt,
ᱠᱟ.ᱠᱤ,mother's sister,
ᱠᱟ.ᱦᱩ,crow,
ᱠᱟ.ᱴᱩᱵ,finger,
ᱠᱟᱞᱟᱞᱤᱥᱩᱴ,Kalaallisut,
ᱠᱟᱞᱢᱤᱠ,Kalmyk,
ᱠᱟᱞᱮᱱᱡᱤᱱ,Kalenjin,
ᱠᱟᱠᱚ,Kako,
ᱠᱟᱠᱟ,uncle,
ᱠᱟᱡᱟᱠᱷ,Kazakh,
ᱠᱟᱡᱩᱱ ᱯᱷᱨᱮᱧᱪ,Cajun French,
ᱠᱟᱢᱵᱟ,Kamba,
