Category	Santali	English	Odia	ᱨᱚᱱᱚᱲ	ᱢᱮᱱᱮᱛ																				
Human Body Parts	ᱩᱵᱽ	hair		Noun																					
Human Body Parts	ᱵᱚᱷᱚᱜ	head		Noun																					
Human Body Parts	ᱠᱷᱟᱯᱨᱤ	skull		Noun																					
Human Body Parts	ᱵᱤᱥᱤᱡᱟᱲ	spinal cord		Noun																					
Human Body Parts	ᱛᱚᱛᱠᱟ	back of head		Noun																					
Human Body Parts	ᱦᱟᱛᱟᱲ, ᱵᱷᱮᱡᱟ	brain		Noun																					
Human Body Parts	ᱢᱚᱞᱚᱝ	forehead		Noun																					
Human Body Parts	ᱢᱚᱲᱟ	face		Noun																					
Human Body Parts	ᱢᱮᱫ	eye		Noun																					
Human Body Parts	ᱢᱮᱫ ᱠᱩᱴᱤ	eyelid		Noun																					
Human Body Parts	ᱢᱩ	nose		Noun																					
Human Body Parts	ᱛᱷᱚᱛᱱᱟ	cheek		Noun																					
Human Body Parts	ᱞᱩᱛᱩᱨ	ear		Noun																					
Human Body Parts	ᱢᱚᱪᱟ	mouth		Noun																					
Human Body Parts	ᱞᱩᱴᱤ	lip		Noun																					
Human Body Parts	ᱛᱟ.ᱨᱩ	palate		Noun																					
Human Body Parts	ᱰᱟᱴᱟ	tooth		Noun																					
Human Body Parts	ᱟᱞᱟᱝ	tongue		Noun																					
Human Body Parts	ᱦᱚᱴᱚᱜᱽ	neck		Noun																					
Human Body Parts	ᱛᱟᱨᱮᱱ	shoulder		Noun																					
Human Body Parts	ᱥᱚᱯᱟ	arm		Noun																					
Human Body Parts	ᱦᱟᱨᱛᱟ	skin		Noun																					
Human Body Parts	ᱛᱤ	hand		Noun																					
Human Body Parts	ᱢᱚᱠᱟ	elbow		Noun																					
Human Body Parts	ᱛᱤᱷ ᱛᱟᱞᱠᱷᱟ	palm		Noun																					
Human Body Parts	ᱠᱟ.ᱴᱩᱵ	finger		Noun																					
Human Body Parts	ᱨᱟᱢᱟ	nail		Noun																					
Human Body Parts	ᱮᱸᱜᱟ ᱠᱟ.ᱴᱩᱵ	thumb		Noun																					
Human Body Parts	ᱩᱫᱩᱜ ᱠᱟ.ᱴᱩᱵ	panter		Noun																					
Human Body Parts	ᱥᱤᱫ ᱠᱟ.ᱴᱩᱵ	middle finger		Noun																					
Human Body Parts	ᱵᱟᱯᱞᱟ ᱠᱟ.ᱴᱩᱵᱽ	ring finger		Noun																					
Human Body Parts	ᱦᱩᱰᱤᱧ ᱠᱟ.ᱴᱩᱵ	little finger		Noun																					
Human Body Parts	ᱠᱚᱲᱟᱢ	chest		Noun																					
Human Body Parts	ᱵᱚᱨᱚ	lungs		Noun																					
Human Body Parts	ᱤᱱ	heart		Noun																					
Human Body Parts	ᱵᱩᱠᱟ.	navel		Noun																					
Human Body Parts	ᱫᱮᱭᱟ	back		Noun																					
Human Body Parts	ᱰᱩᱵᱷᱤ	rump		Noun																					
Human Body Parts	ᱞᱟᱡᱽ	stomach		Noun																					
