Grain,ᱦᱩᱲᱩ
Pickle,ᱟᱪᱟᱨ
Semolina,ᱥᱩᱡᱤ
Flour,ᱚᱴᱟ
Comfit,ᱤᱞᱟ.ᱭᱪᱤ
Coffee,ᱛᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱪᱟᱭ
Milk,ᱛᱚᱣᱟ
Ice-cream,ᱮᱥᱠᱨᱮᱢ
Wheat,ᱜᱩᱦᱩᱢ
Ghee,ᱤᱛᱤᱞ ᱥᱩᱱᱩᱢ
Sauce,ᱪᱚᱴᱱᱤ
Gram,ᱪᱟᱱᱟ/ᱪᱷᱚᱞᱟ
Rice,ᱪᱟᱣᱞᱮ
Tea,ᱪᱟᱭ
Sugar,ᱪᱤᱱᱤ
Cheese,ᱯᱟ.ᱱᱤᱨ
Vegetables,ᱩᱛᱩ
Oil,ᱥᱩᱱᱩᱢ
Pulse,ᱫᱟ.ᱞ
Tomato sauce,ᱵᱤᱞᱟ.ᱛᱤ ᱪᱟᱴᱱᱤ
Ice,ᱵᱚᱨᱚᱯᱷ
Biscuit,ᱵᱤᱥᱠᱩᱴ
Maiz,ᱡᱚᱱᱚᱲᱟ
Meat,ᱡᱤᱞ
Beef,ᱰᱟᱜᱽᱨᱤ ᱡᱤᱞ
Mutton,ᱢᱮᱨᱚᱢ ᱡᱤᱞ
Pork,ᱥᱩᱠᱨᱤ ᱡᱤᱞ
Sugar candy,ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ
Maida,ᱢᱟᱭᱫᱟ
Mustard,ᱛᱩᱲᱤ
Bread,ᱧᱤᱸᱫᱟ ᱫᱟᱠᱟ
Syrup,ᱥᱚᱨᱵᱚᱛ
Wine,ᱯᱟ.ᱨᱣᱟ
Honey,ᱧᱮᱸᱞᱮᱨᱟᱥᱟ
Mustard oil,ᱛᱩᱲᱤ ᱥᱩᱱᱩᱢ
Apple,ᱥᱮᱣᱚ
Banana,ᱠᱟᱭᱨᱟ
Carrot,ᱟᱨᱟᱜ ᱢᱩᱞᱟ
Cashew,ᱵᱤᱞᱟ.ᱛᱤ ᱥᱷᱚᱥᱷᱚ
Date,ᱠᱷᱟ.ᱡᱩᱨ
Grape,ᱟᱸᱜᱩᱨ
lychee,ᱞᱤᱪᱩ
Mango,ᱩᱞ
Orange,"ᱠᱚᱢᱞᱟ, ᱡᱟ.ᱢᱵᱤᱨ"
Pomegranate,ᱟᱱᱟᱨ
Tamarind,ᱡᱚᱡᱚ ᱡᱚ
Watermelon,ᱫᱟᱜᱠᱚᱦᱲᱟ
Ice,ᱵᱚᱨᱚᱯᱷ
Pickle,ᱟᱪᱟᱨ
Milk,ᱛᱚᱣᱟ
Sugar,ᱪᱤᱱᱤ
Cheese,ᱯᱚᱱᱤᱨ
Biscuit,ᱵᱤᱥᱠᱩᱴ
Sugar Candy,ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ
Syrup,ᱥᱚᱨᱵᱚᱛ
