zero,ᱥᱩᱱᱭᱚ
one,ᱢᱤᱫ
two,ᱵᱟᱨ
three,ᱯᱮ
four,ᱯᱩᱱ
five,ᱢᱚᱸᱬᱮ
six,ᱛᱩᱨᱩᱭ
seven,ᱮᱭᱟᱭ
eight,ᱤᱨᱟ.ᱞ
nine,ᱟᱨᱮᱞ
ten,ᱜᱮᱞ
eleven,ᱜᱮᱞ ᱢᱤᱫ
twelve,ᱜᱮᱞ ᱵᱟᱨ
thirteen,ᱜᱮᱞ ᱯᱮ
fourteen,ᱜᱮᱞ ᱯᱤᱱ
fifteen,ᱜᱮᱞ ᱢᱚᱸᱬᱮ
sixteen,ᱜᱮᱞ ᱛᱩᱨᱩᱭ
seventeen,ᱜᱮᱞ ᱮᱭᱟᱭ
eighteen,ᱜᱮᱞ ᱤᱨᱟ.ᱞ
nineteen,ᱜᱮᱞ ᱟᱨᱮᱞ
twenty,ᱵᱟᱨ ᱜᱮᱞ
twenty one,ᱵᱟᱨ ᱜᱮᱞ ᱢᱤᱫ
twenty two,ᱵᱟᱨ ᱜᱮᱞ ᱵᱟᱨ
twenty three,ᱵᱟᱨ ᱜᱮᱞ ᱯᱮ
twenty four,ᱵᱟᱨ ᱜᱮᱞ ᱯᱩᱱ
twenty five,ᱵᱟᱨ ᱜᱮᱞ ᱢᱚᱸᱬᱮ
twenty six,ᱵᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
twenty seven,ᱵᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ
Twenty eight,ᱵᱟᱨ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
twenty nine,ᱵᱟᱨ ᱜᱮᱞ ᱟᱨᱮᱞ
thirty,ᱯᱮ ᱜᱮᱞ
thirty one,ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ
thirty two,ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ
thirty three,ᱯᱮ ᱜᱮᱞ ᱯᱮ
thirty four,ᱯᱮ ᱜᱮᱞ ᱯᱩᱱ
thirty five,ᱯᱮ ᱜᱮᱞ ᱢᱚᱸᱮ
thirty six,ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
thirty seven,ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
thirty eight,ᱯᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
thirty nine,ᱯᱮ ᱜᱮᱞ ᱟᱨᱮᱞ
forty,ᱯᱩᱱ ᱜᱮᱞ
forty one,ᱯᱩᱱ ᱜᱮᱞ ᱢᱤᱫ
forty two,ᱯᱩᱱ ᱜᱮᱞ ᱵᱟᱨ
forty three,ᱯᱩᱱ ᱜᱮᱞ ᱯᱮ
forty four,ᱯᱩᱱ ᱜᱮᱞ ᱯᱩᱱ
forty five,ᱯᱩ ᱜᱮᱞ ᱢᱚᱬᱮ
forty six,ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
forty seven,ᱯᱩᱱ ᱜᱮᱞ ᱮᱭᱟᱭ
forty eight,ᱯᱩᱱ ᱜᱮᱞ ᱤᱨᱟ.ᱞ
forty nine,ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮᱞ
fifty,ᱢᱚᱸᱬᱮ ᱜᱮᱞ
fifty one,ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱢᱤᱫ
fifty two,ᱢᱚᱸᱬᱮ ᱜᱮᱞ ᱵᱟᱨ
