Father,ᱵᱟᱵᱟ
Mother,ᱟᱭᱚ
Uncle,ᱠᱟᱠᱟ
Aunt,ᱠᱟ.ᱠᱤ
Grand Father,ᱜᱚᱲᱚᱢ ᱦᱟᱲᱟᱢ
Grand Mother,ᱜᱚᱲᱚᱢ ᱵᱩᱲᱷᱤ
Son in law,ᱡᱟᱶᱟᱭ ᱜᱚᱢᱠᱮ
Friend,ᱜᱟᱛᱮ
Maternal Grandfather,ᱜᱚᱲᱚᱢ ᱦᱚᱲᱟᱢ
Maternal Grandmother,ᱜᱚᱲᱚᱢ ᱵᱩᱲᱷᱤ
Husband,ᱡᱟᱶᱟᱭ
Daughter,ᱵᱤᱴᱤ
Son,ᱵᱮᱴᱟ
Love,ᱫᱩᱞᱟ.ᱲ
Sister,ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ
Brother,ᱵᱚᱭᱦᱟ
Guest,ᱯᱮᱲᱟ
Teacher,ᱢᱟᱪᱮᱛ
Preceptor,ᱜᱩᱨᱩ
Sister in law,ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱥᱟᱞᱤ)
Sister in law,ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱱᱱᱚᱫ)
Sister in law,ᱤᱨᱤᱞ ᱠᱩᱲᱤ (ᱫᱮᱣᱨᱟᱱᱤ)
Maternal Uncle,ᱢᱟᱢᱟ
Maternal Aunt,ᱢᱟᱢᱤ
Mother's sister,ᱠᱟ.ᱠᱤ
Pupil,ᱟᱪᱮᱛ
Own,ᱱᱤᱡᱟ.ᱨ
Father in law,ᱦᱚᱧᱦᱟᱨ ᱵᱟᱵᱟ
Mother in law,ᱦᱚᱧᱦᱟᱨ ᱟᱭᱚ
Relative,ᱱᱤᱡᱟ.ᱨ ᱯᱮᱲᱟ
Step Father,ᱠᱟᱴ ᱵᱟᱵᱟ
Step Mother,ᱪᱷᱩᱴᱠᱤ ᱟᱭᱚ
Step Brother,ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ
Step Sister,ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ
Step Daughter,ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱮᱨᱟ
Step Son,ᱪᱷᱩᱴᱠᱤ ᱦᱚᱯᱚᱱ
Maternal Sister,ᱦᱤᱞᱤ
