Sl. No.,S.N,Santali Latin,SANTALI
1,Abrus precatorius,"poṇḍ kawet́, pond pawet́",ᱯᱳᱱᱰ ᱠᱟᱣᱮᱛ
2,Abutilon indicum,miru baha,ᱢᱤᱨᱩ ᱵᱟᱦᱟ
3,Acacia arabica,"babla, bạbur, gabla","ᱵᱟᱵᱞᱟ, ᱵᱟᱹᱵᱩᱨ, ᱜᱟᱵᱞᱟ"
4,Acacia catechu,khayar,ᱠᱷᱟᱭᱟᱨ
5,Acacia intsia,kondro jạnum,ᱠᱚᱱᱰᱨᱚ ᱡᱟᱹᱱᱩᱢ
6,Acacia farnesiana,gạbur,ᱜᱟᱹᱵᱩᱨ
7,Achyranthes asper,cipciṛip̕,ᱪᱤᱯᱪᱤᱨᱤᱯ
8,Acternanthera sessilis,gạrũṇḍi aṛag,ᱜᱟᱹᱨᱩᱱᱰᱤ ᱟᱲᱟᱜ
9,Adiantum lunulatum,dodhạri,ᱰᱚᱰᱷᱟᱨᱤ
10,Adina cordifolia,karam dare,ᱠᱟᱨᱟᱢ ᱫᱟᱨᱮ
11,Aeginetia indica,pathor orot,ᱯᱟᱛᱷᱚᱨ ᱚᱨᱚᱛ
12,Aegle marmelos,sińjo,ᱥᱤᱧᱡᱚ
13,Aerua lannata,lo̱po̱ṅ aṛak̕,ᱯᱚᱯᱚᱱ ᱟᱲᱟᱜ
14,Aeschynomene aspera,so̱l,ᱥᱚᱞ
15,Agave americana,"koṅga, koṅgak̕, koṅgat̕, moraba","ᱠᱚᱝᱜᱟ, ᱠᱚᱝᱜᱟᱜ, ᱠᱚᱱᱜᱟᱹᱛ, ᱢᱚᱨᱟᱵᱟ"
16,Alangium lamarckii,ḍhela,ᱰᱷᱮᱞᱟ
17,Albizzia odoratissima,jaṅ siris,ᱡᱟᱱ ᱥᱤᱨᱤᱥ
18,Albizzia myriophilla,kaṇṭa siris,ᱠᱟᱱᱴᱟ ᱥᱤᱨᱤᱥ
19,Albizzia lebbek,siris,ᱥᱤᱨᱤᱥ
20,Allium cepa,peaj,ᱯᱮᱭᱟᱡᱽ
21,Alstonia scholaris,chạtni,ᱪᱷᱟᱹᱴᱱᱤ
22,Amaranthus blitum,nạṛi gạndhạri,ᱱᱟᱹᱲᱤ ᱜᱟᱹᱱᱫᱷᱟᱹᱨᱤ
23,Amarantus gangeticus,gandhạri aṛak̕,ᱜᱟᱹᱱᱫᱷᱟᱹᱨᱤ ᱟᱲᱟᱜ
24,Amarantus spinosa,jạnum aṛak̕,ᱡᱟᱹᱱᱩᱢ ᱟᱲᱟᱜ
25,Amarantus frumentacens,kukṛucut̕ baha,ᱠᱩᱠᱲᱩᱠᱩᱛ ᱵᱟᱦᱟ
26,Amarantus paniculatus,laṛka baha,ᱞᱟᱹᱨᱠᱟᱹ ᱵᱟᱦᱟ
27,Amarantus tristis,poṇḍ gandhạri aṛak̕,ᱯᱩᱱᱰ ᱜᱟᱹᱱᱫᱷᱟᱹᱨᱤ ᱟᱲᱟᱜ
28,Amorphophallus campanulatus,"ol, piṇḍe","ᱚᱞ, ᱯᱮᱱᱰᱮ"
29,Ananassa sativa,"ananas, anaro̱s","ᱟᱱᱟᱱᱚᱥ, ᱟᱱᱟᱨᱚᱣᱟ"
30,Andrographis echioides,bir kubet,ᱵᱤᱨ ᱠᱩᱵᱮᱛ
31,Andrographis paniculata,kalmeg,ᱠᱟᱞᱢᱮᱜᱽ
32,Andropogon muricatus,"bena, sirom","ᱵᱮᱱᱟ, ᱥᱤᱨᱚᱢ"
33,Andropogon schaenanthus,nanha ḍuḍhi ghãs,ᱱᱟᱱᱦᱟ ᱫᱩᱫᱷᱤ ᱜᱷᱟᱥ
34,Andropogon aciculatus,seta sagak̕,ᱥᱮᱛᱟ ᱥᱟᱜᱟᱜ
35,Aneilema nana,gundli aṛak̕,ᱜᱩᱱᱰᱞᱤ ᱟᱲᱟᱜ
36,Angelica glauca,oponom,ᱚᱯᱚᱱᱚᱢ
37,Anisochilus carnosus,gitil ran,ᱜᱤᱛᱤᱞ ᱨᱟᱱ
38,Anisomeles ovata,surgi baha,ᱥᱩᱨᱜᱤ ᱵᱟᱦᱟ
39,Anogeissus latifolia,he̱se̱l,ᱦᱮᱥᱮᱞ
40,Anona reticulam ( sic - Anona reicularis),"amsophori, gom, sạphri am","ᱟᱢᱥᱚᱯᱷᱚᱨᱤ, ᱜᱚᱢ, ᱥᱟᱹᱯᱷᱨᱤ ᱟᱢ"
41,Anona squamosa,"mandargo̱m, sạrphạ",ᱢᱟᱱᱫᱟᱨᱜᱚᱢ
