origin	ᱚᱨᱤᱡᱤᱱ ᱠᱟᱱᱟ	ᱪᱮᱫ ᱦᱚᱹ ᱵᱟᱝᱟ
Sorry	ᱤᱠᱹᱟ
database	ᱥᱟᱫᱽᱠᱷᱤᱭᱟᱹ ᱵᱟᱹᱭᱥᱟᱣ
upgrade	ᱦᱟᱹᱞᱤᱦᱚᱪᱚ
problems	ᱰᱤᱜᱟᱹᱣ
fix	ᱜᱚᱴᱟᱣ
Check	ᱧᱮᱞ ᱵᱤᱰᱟᱣᱜ
Continue	ᱞᱮᱛᱟᱲ
Anyway	ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟᱛᱮ
temporary	ᱥᱩᱭᱫᱚᱢᱟᱠ
recovered	ᱫᱚᱦᱲᱟ ᱧᱟᱢᱨᱩᱟᱸᱲ
Please	ᱫᱚᱭᱟᱠᱟᱛᱮ
video	ᱧᱮᱱᱮᱞᱚᱢ
Background	ᱚᱱᱚᱰ
applied	ᱵᱟᱦᱟᱞ
image	ᱪᱤᱛᱟᱨ
Error	ᱦᱩᱰᱟᱹᱜ
Failed	ᱰᱤᱜᱟᱹᱣ
permission	ᱪᱷᱟᱰ
Appearance	ᱧᱮᱞᱚᱜ
schedule	ᱠᱟᱹᱢᱤ ᱦᱚᱨᱟ
reminder	ᱩᱭᱦᱟᱹᱨ
Sync	ᱟᱹᱭᱩᱨ ᱢᱤᱫ
Terms and conditions	ᱫᱚᱣ ᱟᱨ ᱚᱵᱚᱥᱛᱟ ᱠᱚ
step	ᱡᱷᱟᱸᱯ ᱠᱚ
Email address	ᱤ-ᱢᱮᱞ ᱴᱷᱤᱠᱟᱹᱱᱟ
Repeat	ᱫᱚᱯᱚᱲᱦᱟ
Password	ᱫᱟᱱᱟᱝ ᱥᱟᱵᱟᱫᱽ
free	ᱥᱟᱹᱫᱷᱤᱱ
Logged	ᱵᱚᱞᱚᱣᱟᱠ
Reset	ᱫᱚᱦᱲᱟ
Search	ᱥᱮᱸᱫᱽᱨᱟ
Preferences	ᱟᱹᱲᱤ ᱠᱩᱥᱤᱭᱟᱠ
upload	ᱞᱟᱫᱮ ᱢᱮ
Overwrite	ᱫᱩᱦᱰᱟ ᱚᱞᱟᱢ
collection	ᱴᱩᱢᱟᱹᱞ
downloaded	ᱟᱹᱛᱩᱨᱩᱨ ᱟᱬᱜᱚ
Try again later	ᱛᱟᱭᱚᱢ ᱛᱮ ᱪᱮᱥᱴᱟᱭ ᱢᱮ
direction	ᱱᱟᱜᱷᱟ
Converter	ᱵᱚᱫᱚᱞᱦᱚᱪᱚᱜ
result	ᱰᱤᱜᱞᱟᱨ
result	ᱠᱩᱲᱟᱭ
clipboard	ᱨᱮᱴᱚᱯᱵᱚᱨᱰ
Example:	ᱡᱮᱞᱠᱟᱺ
date	ᱢᱟᱹᱦᱤᱛ
Difference	ᱵᱷᱮᱜᱟᱨ
Scientific	ᱥᱟᱰᱮᱥᱤᱭᱟ
Translate	ᱛᱚᱨᱡᱚᱢᱟᱭ
ideas	ᱦᱩᱫᱤᱥ ᱩᱫᱩᱜ
Tips and Tricks	ᱴᱩᱥᱟ ᱟᱨ ᱪᱟᱞᱟᱠᱤ
Tips	ᱴᱩᱥᱟ
Tricks	ᱪᱟᱞᱟᱠᱤ
Version	ᱦᱟᱹᱞᱤᱭᱟᱠ
favorite	ᱠᱩᱥᱤᱠᱚ
custom	ᱱᱤᱡᱮᱛᱮ
Setting	ᱥᱟᱡᱟᱣᱠᱚ
Currency	ᱴᱟᱠᱟ
Language	ᱯᱟᱹᱨᱥᱤ
Format number	ᱮᱞᱮᱠᱷ ᱥᱚᱡᱟᱣ ᱢᱮ <
feedback	ᱞᱟᱹᱭ ᱯᱩᱥᱴᱟᱹᱣ
Cumulative	ᱢᱮᱥᱟᱦᱟᱜ
Reduce map scale	ᱱᱚᱠᱥᱟ ᱱᱟᱯ ᱠᱚᱢᱢᱮ
map scale	ᱱᱚᱠᱥᱟ ᱱᱟᱯ
Waypoints	ᱡᱟᱭ-ᱩᱫᱩᱜ
Map	ᱱᱚᱠᱥᱟ
Time	ᱥᱚᱢᱚᱭ
Show	ᱫᱮᱠᱷᱟᱣ
Answers	ᱛᱮᱞᱟ
Minutes	ᱴᱤᱯᱤᱡ
Hours	ᱴᱟᱲᱟᱝ
month	ᱪᱟᱸᱫᱚ
Average	ᱢᱟᱸᱡᱞᱟ ᱨᱟᱥ
reviews	ᱫᱩᱦᱲᱟ ᱧᱮᱞ
day	ᱫᱤᱱ
years	ᱥᱮᱨᱢᱟ
Weeks	ᱦᱟᱴ
Today	ᱛᱮᱦᱮᱧ
count	ᱦᱤᱥᱟᱹᱵ
Added	ᱥᱮᱞᱮᱫ ᱮᱱᱟ
Intervals	ᱚᱠᱛᱚ ᱛᱟᱞᱟ
Sun	ᱥᱤᱸᱜᱮ
Mon	ᱚᱛᱮ
Tue	ᱵᱟᱞᱮ
Wed	ᱥᱟᱹᱜᱩᱱ
Thu	ᱥᱟᱹᱨᱫᱤ
Fri	ᱡᱟᱹᱨᱩᱢ
Sat	ᱧᱩᱦᱩᱢ
Learning	ᱪᱮᱫᱚᱜ
correct	ᱴᱦᱤᱠ
Young	ᱡᱚᱣᱟᱱ
Mature	ᱰᱟᱹᱝᱜᱩᱟᱹ
search	ᱥᱟᱧᱪᱟᱣ
